entity_id,pathway_betweenness,canonical_metabolite,PD_score,pathway_degree
IK_GHVNFZFCNZKVNT-UHFFFAOYSA-N,0.0,Capric acid,58.5262487461083,3
IK_YSMODUONRAFBET-UHNVWZDZSA-N,0.0,5-Hydroxylysine,66.1518557622944,2
IK_DUYSYHSSBDVJSM-KRWOKUGFSA-N,0.0,Sphingosine-1-phosphate,57.0946103961465,1
IK_HEBKCHPVOIAQTA-QWWZWVQMSA-N,0.0,lyxitol,58.4376885397978,1
IK_CGQCWMIAEPEHNQ-UHFFFAOYSA-N,0.0,Vanillylmandelic acid,96.3638167447431,3
IK_GHCZAUBVMUEKKP-GYPHWSFCSA-N,0.0,glycochenodeoxycholic acid,48.0650963091933,4
IK_MBMBGCFOFBJSGT-KUBAVDMBSA-N,0.0,Docosahexaenoic Acid,96.3285996020924,2
IK_GUBGYTABKSRVRQ-QKKXKWKRSA-N,0.0,lactose,57.335390757154,1
IK_QZAYGJVTTNCVMB-UHFFFAOYSA-N,0.0,Serotonin,71.6264411288904,2
IK_WWZKQHOCKIZLMA-UHFFFAOYSA-N,0.0,Caprylic acid,67.3298987026588,3
IK_BHYOQNUELFTYRT-DPAQBDIFSA-N,0.0,cholesterol 3-sulfate,60.1348756207098,3
