MDS1,MDS2,entity_id,canonical_metabolite,study_id,matrix_clean,mode_clean,phase_clean
1.1084543119967618,-0.4144581236026122,IK_HVRNKDVLFAVCJF-VJANTYMQSA-N,5-Methyltetrahydropteroyltri-L-glutamic acid,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.009819406692718843,0.0654617774478007,IK_ZPZUGHMDLKWJOU-LMSYVIICSA-N,Tanacetol A,MTBLS11904,plasma,Positive,Reverse phase/C18
0.003137768334443598,-0.5171070522900802,IK_XURBWYCGQQXTHJ-UHFFFAOYSA-N,MJDBISSN00000009,MTBLS11904,plasma,Negative | Positive,Reverse phase/C18
0.21075295991680293,0.9881447953386261,NO_INCHIKEY__ser ser oh,Ser-Ser-OH,MTBLS11904,plasma,Negative,Reverse phase/C18
0.1849381074097782,0.06504809717942778,IK_CMKQOKAXUWQAHG-UHFFFAOYSA-N,Alpha-Terpineol propanoate,MTBLS11904,plasma,Positive,Reverse phase/C18
0.02362651487154416,0.11236560954308106,IK_LADJWZMBZBVBSB-YEXRKOARSA-N,Dehydrotumulosic acid,MTBLS11904,plasma,Negative,Reverse phase/C18
0.021199498167533803,-0.9025203397423542,IK_SIKJAQJRHWYJAI-UHFFFAOYSA-N,INDOLE,38516193,plasma,Positive,LC-MS/unspecified
0.16417591880834714,-0.34183411993099333,IK_PAHMCFUSNIRFHK-UKPQPXGPSA-N,DG(PGE2/12:0/0:0),MTBLS11904,plasma,Positive,Reverse phase/C18
-0.31389331408103877,2.4468400500770056,UNKNOWN_ROW__24167579__unknown_172,unknown_172,24167579,serum,Positive,Reverse phase/C18
0.08463041376445787,-0.444803756336919,IK_SEEGHKWOBVVBTQ-NFMPGMCNSA-N,Gibberellin A7,MTBLS11904,plasma,Positive,Reverse phase/C18
0.2606192026513289,-0.2660601538116063,IK_FUJLYHJROOYKRA-UHFFFAOYSA-N,carnitine 12:0,33485385,plasma,Positive,LC-MS/unspecified
-0.020195860157148037,-1.053028786082318,IK_PHIQHXFUZVPYII-ZCFIWIBFSA-N,L-Carnitine,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.22108287616841296,-0.7356385674313527,IK_OYIFNHCXNCRBQI-UHFFFAOYSA-N,Aminoadipic acid,28880465,serum,Positive,LC-MS/unspecified
0.13980763833701315,-0.02071171867531199,IK_SLEHROROQDYRAW-KQYNXXCUSA-N,N2-Methylguanosine,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.12013392693983775,-0.5275839839178833,IK_VVQNEPGJFQJSBK-UHFFFAOYSA-N,Methyl methacrylate,MTBLS11904,plasma,Positive,Reverse phase/C18
0.7519650423197822,-0.370150517506912,IK_HBZNVZIRJWODIB-BCTRXSSUSA-N,1-Palmitoyl-2-Linoleoyl PE,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.018986358626869135,-0.46022028557716205,IK_RJWJHRPNHPHBRN-FKVJWERZSA-N,Aucubin,MTBLS11904,plasma,Negative,Reverse phase/C18
0.21793079334531182,-0.9057136762304117,IK_HPHUVLMMVZITSG-LURJTMIESA-N,Levetiracetam,38720721,serum,Not reported,Reverse phase/C18
0.1441286577159349,-0.9357405098807425,IK_CDSMSBUVCWHORP-UHFFFAOYSA-N,Perillic acid,MTBLS11904,plasma,Positive,Reverse phase/C18
0.0349683087903863,0.10090245671369281,IK_CDICDSOGTRCHMG-ONEGZZNKSA-N,Sinapyl aldehyde,38516193,plasma,Positive,LC-MS/unspecified
0.016610433507480697,-0.4383073919222631,IK_LWWIYCLYWKAKRR-HSUXUTPPSA-N,"(2R,3R,4R)-Hexane-1,2,3,4,6-pentol",MTBLS11904,plasma,Positive,Reverse phase/C18
-0.2983659657644798,-0.35717657617513215,IK_JNMDCUOOYCRSIP-WLFVLELZSA-N,TG 42:3,37755270,serum,Not reported,Reverse phase/C18
0.07066311875629978,0.06166164508161463,IK_SKBCVUCDJRKPAH-RTXFEEFZSA-N,"2,2,6,7-Tetramethylbicyclo[4.3.0]nona-1(9),4-diene-7,8-diol",MTBLS11904,plasma,Negative,Reverse phase/C18
-0.010885213067340214,-0.42663710252865517,IK_MOTZDAYCYVMXPC-UHFFFAOYSA-N,C12-AS (TENTATIVE),35829770,plasma,Negative,Reverse phase/C18
-0.6512178504465889,0.05868000671855602,IK_UYKREHOKELZSPB-JTQLQIEISA-N,Tryptophyl-Glycine,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.33662704075319777,0.12722357343527094,IK_XYFFWTYOFPSZRM-TWNAANEASA-N,17-Aminogeldanamycin,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.037731191609642736,0.014872982105589294,IK_KRHRBKYBJXMYBB-WHFBIAKZSA-N,Ala-Cys-Gly,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.07853013933310332,-0.4998649710145833,IK_PAYRUJLWNCNPSJ-PTQBSOBMSA-N,(1-~13~C)Aniline,35829770,plasma,Positive,Reverse phase/C18
0.28531928118727484,0.12351381160907161,IK_BLZVZPYMHLXLHG-JOBMVARSSA-N,DG 36:3,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.07968067383578883,-0.07736678043250068,IK_FKWQEFWENKGUGF-VFUOTHLCSA-N,Beta-D-Glucopyranosylurea,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.09125271095504728,2.4069066899282463,UNKNOWN_ROW__24167579__unknown_112,unknown_112,24167579,serum,Positive,Reverse phase/C18
0.5016462938090954,0.03468381760333175,IK_NDPWMVKNLXIMLF-KIYNQFGBSA-N,Apiforol sulfate,MTBLS11904,plasma,Negative,Reverse phase/C18
0.6383966011738643,-0.7589371405417684,IK_XVZCREABAODILQ-UHFFFAOYSA-N,Cer 18:0;2O_20:0,37755270,serum,Not reported,Reverse phase/C18
0.4538832544042349,0.5105718391828029,IK_VKVSSDKCKXJFIM-AFYHZPHLSA-N,PC 34:3,33485385,plasma,Positive,LC-MS/unspecified
-0.11846528181376904,-1.0508426912378628,IK_ODHCTXKNWHHXJC-VKHMYHEASA-N,L-Pyroglutamic acid,MTBLS11904,plasma,Positive,Reverse phase/C18
