"entity_id","canonical_metabolite","KEGG_ID","Pathway"
"IK_WHUUTDBJXJRKMK-VKHMYHEASA-N","Glutamic acid","C00025","Alanine, aspartate and glutamate metabolism"
"IK_BTCSSZJGUNDROE-UHFFFAOYSA-N","Gamma Aminobutyric acid","C00334","Alanine, aspartate and glutamate metabolism"
"IK_ZDXPYRJPNDTMRX-VKHMYHEASA-N","Glutamine","C00064","Alanine, aspartate and glutamate metabolism"
"IK_COJBGNAUUSNXHX-UHFFFAOYSA-N","2-Keto-glutaramic acid","C00940","Alanine, aspartate and glutamate metabolism"
"IK_DWAKNKKXGALPNW-UHFFFAOYSA-N","1-Pyrroline-5-carboxylic acid","C03912","Alanine, aspartate and glutamate metabolism"
"IK_KRKNYBCHXYNGOX-UHFFFAOYSA-N","Citric Acid","C00158","Alanine, aspartate and glutamate metabolism"
"IK_KKCIOUWDFWQUBT-AWEZNQCLSA-N","L-Thyronine","C01829","Tyrosine metabolism"
"IK_XUIIKFGFIJCVMT-LBPRGKRZSA-N","Thyroxine","C01829","Tyrosine metabolism"
"IK_SGLDLWSTFXXDDD-LFSNXOCVSA-N","PA(14:0/18:1(12Z)-O(9S,10R))","C05578","Tyrosine metabolism"
"IK_SGNZYJXNUURYCH-UHFFFAOYSA-N","Dopamine [-NH3]","C05578","Tyrosine metabolism"
"IK_WTDRDQBEARUVNC-LURJTMIESA-N","Levodopa","C00355","Tyrosine metabolism"
"IK_VYFYYTLLBUKUHU-UHFFFAOYSA-N","Dopamine","C03758","Tyrosine metabolism"
"IK_DIVQKHQLANKJQO-UHFFFAOYSA-N","3-Methoxytyramine","C05587","Tyrosine metabolism"
"IK_GOQGGGANVKPMNH-UHFFFAOYSA-N","3-Methoxy-4-hydroxyphenylacetaldehyde","C05581","Tyrosine metabolism"
"IK_QRMZSPFSDQBLIX-UHFFFAOYSA-N","Homovanillic acid","C05582","Tyrosine metabolism"
"IK_CGQCWMIAEPEHNQ-UHFFFAOYSA-N","Vanillylmandelic acid","C05584","Tyrosine metabolism"
"IK_MCMLHDBHZRLOED-SFYZADRCSA-N","Ornithine [+CO2]","C05580","Tyrosine metabolism"
"IK_RGHMISIYKIHAJW-SSDOTTSWSA-N","Isovanillymandelic acid","C05580","Tyrosine metabolism"
"IK_WDJHALXBUFZDSR-UHFFFAOYSA-M","Acetoacetate","C00164","Tyrosine metabolism"
"IK_VZCYOOQTPOCHFL-OWOJBTEDSA-N","fumaric acid","C00122","Tyrosine metabolism"
"IK_LCTONWCANYUPML-UHFFFAOYSA-N","Pyruvic Acid","C00022","Tyrosine metabolism"
"IK_KKADPXVIOXHVKN-UHFFFAOYSA-N","4-Hydroxyphenylpyruvic acid","C01179","Tyrosine metabolism"
"IK_OUYCCCASQSFEME-QMMMGPOBSA-N","L-Tyrosine","C00082","Tyrosine metabolism"
"IK_OUYCCCASQSFEME-UHFFFAOYNA-N","Tyrosine","C00082","Tyrosine metabolism"
"IK_WLJVXDMOQOGPHL-UHFFFAOYSA-N","phenylacetic acid","C00544","Tyrosine metabolism"
"IK_WXTMDXOMEHJXQO-UHFFFAOYSA-N","Gentisic acid","C00544","Tyrosine metabolism"
"IK_XQXPVVBIMDBYFF-UHFFFAOYSA-N","p Hydroxyphenylacetic acid","C00544","Tyrosine metabolism"
"IK_CFFZDZCDUFSOFZ-UHFFFAOYSA-N","3,4-dihydroxyphenylacetic Acid","C01161","Tyrosine metabolism"
"IK_IPRPPFIAVHPVJH-UHFFFAOYSA-N","4-Hydroxyphenylacetaldehyde","C03765","Tyrosine metabolism"
"IK_DZGWFCGJZKJUFP-UHFFFAOYSA-N","Tyramine","C00483","Tyrosine metabolism"
"IK_VISAJVAPYPFKCL-UHFFFAOYSA-N","3-Methoxy-4-hydroxyphenylglycolaldehyde","C05583","Tyrosine metabolism"
"IK_RBNPOMFGQQGHHO-UHFFFAOYSA-N","glyceric acid","C00258","Glycine, serine and threonine metabolism"
"IK_NIPLIJLVGZCKMP-UHFFFAOYSA-M","Neurine","C00114","Glycine, serine and threonine metabolism"
"IK_OEYIOHPDSNJKLS-UHFFFAOYSA-N","Choline","C00114","Glycine, serine and threonine metabolism"
"IK_SXKNCCSPZDCRFD-UHFFFAOYSA-N","Betaine aldehyde","C00576","Glycine, serine and threonine metabolism"
"IK_XKBJVQHMEXMFDZ-UHFFFAOYSA-N","LPC O-18:0","C00719","Glycine, serine and threonine metabolism"
"IK_OSJPPGNTCRNQQC-UHFFFAOYSA-N","3-phosphoglycerate","C00197","Glycine, serine and threonine metabolism"
"IK_CVSVTCORWBXHQV-UHFFFAOYSA-N","Creatine","C00300","Glycine, serine and threonine metabolism"
"IK_FFDGPVCHZBVARC-UHFFFAOYSA-N","N,N-dimethylglycine","C01026","Glycine, serine and threonine metabolism"
"IK_BDKXLTOHYQEAIO-RSLHMRQOSA-N","L-Cystathionine - Isomer","C02291","Glycine, serine and threonine metabolism"
"IK_DHMQDGOQFOQNFH-UHFFFAOYSA-N","Glycine","C00037","Glycine, serine and threonine metabolism"
"IK_AYFVYJQAPQTCCC-GBXIJSLDSA-N","L-Threonine","C00188","Glycine, serine and threonine metabolism"
"IK_AYFVYJQAPQTCCC-UHFFFAOYNA-N","Threonine","C00188","Glycine, serine and threonine metabolism"
"IK_WHBMMWSBFZVSSR-UHFFFAOYSA-N","3-Hydroxybutyric acid","C00188","Glycine, serine and threonine metabolism"
"IK_TYEYBOSBBBHJIV-UHFFFAOYSA-N","2-Ketobutyric acid","C00109","Glycine, serine and threonine metabolism"
"IK_MTCFGRXMJLQNBG-REOHCLBHSA-N","L-Serine","C00065","Glycine, serine and threonine metabolism"
"IK_MTCFGRXMJLQNBG-UHFFFAOYNA-N","Serine","C00065","Glycine, serine and threonine metabolism"
"IK_MTCFGRXMJLQNBG-UWTATZPHSA-N","D-serine","C00740","Glycine, serine and threonine metabolism"
"IK_LCTONWCANYUPML-UHFFFAOYSA-N","Pyruvic Acid","C00022","Glycine, serine and threonine metabolism"
"IK_ZFFFJLDTCLJDHL-UHFFFAOYSA-N","3-alpha,20-alpha-Dihydroxy-5-beta-pregnane 3-glucuronide","C00430","Glycine, serine and threonine metabolism"
"IK_ZGKDAEWLTNBSEJ-GHMZBOCLSA-N","Cyclopropyl-[(3S,4S)-3-(dimethylamino)-4-(hydroxymethyl)piperidin-1-yl]methanone","C00430","Glycine, serine and threonine metabolism"
"IK_ZGXJTSGNIOSYLO-UHFFFAOYSA-N","5-Aminolevulinic acid","C00430","Glycine, serine and threonine metabolism"
"IK_BCDGQXUMWHRQCB-UHFFFAOYSA-N","Aminoacetone","C01888","Glycine, serine and threonine metabolism"
"IK_KAKZBPTYRLMSJV-UHFFFAOYSA-N","1,3-Butadiene","C05485","Steroid hormone biosynthesis"
"IK_HAFVWTUQBYRPOB-QGGNSXJXSA-N","11b,17a,21-Trihydroxypreg-nenolone","C05489","Steroid hormone biosynthesis"
"IK_JYGXADMDTFJGBT-VWUMJDOOSA-N","Hydrocortisone","C00735","Steroid hormone biosynthesis"
"IK_MFYSYFVPBJMHGN-ZPOLXVRWSA-N","Cortisone","C00735","Steroid hormone biosynthesis"
"IK_ACSFOIGNUQUIGE-AIPUTVCKSA-N","Dihydrocortisol","C05471","Steroid hormone biosynthesis"
"IK_AODPIQQILQLWGS-GXBDJPPSSA-N","Tetrahydrocortisol","C05472","Steroid hormone biosynthesis"
"IK_RSRDWHPVTMQUGZ-OZIWPBGVSA-N","Pregnan-20-one","C05480","Steroid hormone biosynthesis"
"IK_XVIHASZHSRQYCV-YWYYGOADSA-N","PC(15:0/22:6(5Z,7Z,10Z,13Z,16Z,19Z)-OH(4))","C05478","Steroid hormone biosynthesis"
"IK_XWHHYOYVRVGJJY-QMMMGPOBSA-N","4-Fluoro-L-phenylalanine","C05478","Steroid hormone biosynthesis"
"IK_OMFXVFTZEKFJBZ-HJTSIMOOSA-N","Corticosterone","C01124","Steroid hormone biosynthesis"
"IK_OECTYKWYRCHAKR-UHFFFAOYSA-N","4-Vinylcyclohexene dioxide","C05473","Steroid hormone biosynthesis"
"IK_BHYOQNUELFTYRT-DPAQBDIFSA-N","cholesterol 3-sulfate","C18043","Steroid hormone biosynthesis"
"IK_HVYWMOMLDIMFJA-DPAQBDIFSA-N","Cholesterol","C00187","Steroid hormone biosynthesis"
"IK_DIJBBUIOWGGQOP-QGVNFLHTSA-N","Pregnenolone sulfate","C18044","Steroid hormone biosynthesis"
"IK_SRRQPVVYXBTRQK-XMMPIXPASA-N","PC(17:0/0:0)","C05140","Steroid hormone biosynthesis"
"IK_SRXKAYJJGAAOBP-UHFFFAOYSA-N","N(5)-Acetylornithine","C05140","Steroid hormone biosynthesis"
"IK_SSBCZTXGVMMZOT-NBBHSKLNSA-N","16a-Hydroxyandrost-4-ene-3,17-dione","C05140","Steroid hormone biosynthesis"
"IK_WOODKECARRKLJJ-DIJRFRLPSA-N","7alpha,12alpha,26-trihydroxycholest-4-en-3-one","C05300","Steroid hormone biosynthesis"
"IK_WPMWEFXCIYCJSA-UHFFFAOYSA-N","Tetraethylene glycol monododecyl ether","C05300","Steroid hormone biosynthesis"
"IK_SWINWPBPEKHUOD-JPVZDGGYSA-N","2-hydroxyestrone (2-OH-E1)","C05298","Steroid hormone biosynthesis"
"IK_FJAZVHYPASAQKM-JBAURARKSA-N","Estrone glucuronide","C11132","Steroid hormone biosynthesis"
"IK_FQYGGFDZJFIDPU-JRSYHJKYSA-N","Estriol-16-Glucuronide","C05504","Steroid hormone biosynthesis"
"IK_DILDHNKDVHLEQB-XSSYPUMDSA-N","2-hydroxyestradiol (2-OH-E2)","C05301","Steroid hormone biosynthesis"
"IK_LLCPFVIBUZJITJ-GVEMAFOVSA-N","2-Methoxy-estradiol-17b 3-glucuronide","C11131","Steroid hormone biosynthesis"
"IK_IKXILDNPCZPPRV-RFMGOVQKSA-N","Drostanolone","C03917","Steroid hormone biosynthesis"
"IK_CBMYJHIOYJEBSB-JBDJBKRMSA-N","Androstan-3alpha,17beta-diol","C03852","Steroid hormone biosynthesis"
"IK_CZWCKYRVOZZJNM-USOAJAOKSA-N","dehydroepiandrosterone sulfate","C04555","Steroid hormone biosynthesis"
"IK_ZMITXKRGXGRMKS-LUJOEAJASA-N","Epiandrosterone sulfate","C04555","Steroid hormone biosynthesis"
