"entity_id","canonical_metabolite","KEGG_ID","Pathway"
"IK_LZCOQTDXKCNBEE-RUTJIGONSA-N","3-Oxa-9-azoniatricyclo[3.3.1.02,4]nonane, 9-ethyl-7-hydroxy-9-methyl-","C00157","Linoleic acid metabolism"
"IK_LZLVZIFMYXDKCN-QJWFYWCHSA-N","GPCho(20:4/20:4)","C00157","Linoleic acid metabolism"
"IK_LZRYNUIYHHQTRL-NBZVOYHKSA-N","Lisinopril, epsilon-biotinamidocaproyl-","C00157","Linoleic acid metabolism"
"IK_MROJXXOCABQVEF-UHFFFAOYSA-N","Actarit","C00157","Linoleic acid metabolism"
"IK_MRPDHXXPDCVBPQ-AATRIKPKSA-N","(3S,5R,6S,7E,9x)-7-Megastigmene-3,6,9-triol 9-glucoside","C00157","Linoleic acid metabolism"
"IK_MRUAUOIMASANKQ-UHFFFAOYSA-N","Cocamidopropyl Betaine","C00157","Linoleic acid metabolism"
"IK_NCBOXCFFSWALMZ-XTNBEGJDSA-N","Bergenin Pentaacetate","C00157","Linoleic acid metabolism"
"IK_NCGLTZSBTFVVAW-KNXRZYMVSA-N","Minaxolone","C00157","Linoleic acid metabolism"
"IK_NRJAVPSFFCBXDT-HUESYALOSA-N","phosphatidylcholine","C00157","Linoleic acid metabolism"
"IK_PLOUQIGEQKCKHG-UHFFFAOYSA-N","3-Methylazelaic acid","C00157","Linoleic acid metabolism"
"IK_PNEJUHLZEPRMHF-UHFFFAOYSA-N","6-Hydroxypentadecanedioic acid","C00157","Linoleic acid metabolism"
"IK_PWSKCIUNCJJBIX-RXDOKCLVSA-N","PG(5-iso PGF2VI/a-13:0)","C00157","Linoleic acid metabolism"
"IK_PXVMEXBCFJTGCL-RCHUDCCISA-N","N-Eicosapentaenoyl Phenylalanine","C00157","Linoleic acid metabolism"
"IK_QHVMVGMCKWPDHT-UHFFFAOYSA-N","Fluorescein thiohydantoin","C00157","Linoleic acid metabolism"
"IK_QKAITYIDZJJULL-UHFFFAOYSA-N","2-[(5-bromopyridin-2-yl)amino]-4-methyl-N-propyl-1,3-thiazole-5-carboxamide","C00157","Linoleic acid metabolism"
"IK_QKNCKSQAXGWPIK-FOWTUZBSSA-N","Caffeoylcycloartenol","C00157","Linoleic acid metabolism"
"IK_RAGZUCNPTLULOL-KQJPBSFVSA-N","3-Feruloylquinic acid","C00157","Linoleic acid metabolism"
"IK_RALVCBWUWHJOGL-OPMJLWCUSA-N","Myricatomentoside I","C00157","Linoleic acid metabolism"
"IK_RFHSOKOVHMEMLA-JCMJOHBISA-N","TG 46:2","C00157","Linoleic acid metabolism"
"IK_RFPQMVKZNQOUGY-KXYOHKLBSA-N","PE O-16:1_18:1","C00157","Linoleic acid metabolism"
"IK_RRKQXBKNDQFCNC-MTGPGUOHSA-N","1-alpha-methyl-5-alpha-androstan-3-alpha,17-beta-diol glucuronide","C00157","Linoleic acid metabolism"
"IK_RRTYEHFGQWNQKK-KIQAWMAPSA-N","12-Keto-tetrahydro-leukotriene B4","C00157","Linoleic acid metabolism"
"IK_SPURMHFLEKVAAS-UHFFFAOYSA-N","Docosene","C00157","Linoleic acid metabolism"
"IK_SUWZHLCNFQWNPE-LATRNWQMSA-N","Ethylhydrocupreine","C00157","Linoleic acid metabolism"
"IK_VGSSUFQMXBFFTM-METNKUIYSA-N","(3beta,5alpha,6beta,24R)-Stigmastane-3,5,6-triol","C00157","Linoleic acid metabolism"
"IK_VHMKGBYCXDBNFU-CVWCHQOZSA-N","4'-Methoxymucidin","C00157","Linoleic acid metabolism"
"IK_VIHYIVKEECZGOU-UHFFFAOYSA-N","1-Acetylimidazole","C00157","Linoleic acid metabolism"
"IK_VYZAGTDAHUIRQA-WHFBIAKZSA-N","Ala-Glu","C00157","Linoleic acid metabolism"
"IK_VZJHQHUOVIDRCF-UHFFFAOYSA-N","3-Isolongifolol","C00157","Linoleic acid metabolism"
"IK_WAAPEIZFCHNLKK-PELKAZGASA-N","(2R,4S)-2-Aminoformyl-6-fluoro-spiro[chroman-4,4'-imidazolidine]-2',5'-dione","C00157","Linoleic acid metabolism"
"IK_WCFPKRXBSJDTMS-LGVIUEQGSA-N","FA 19:1","C00157","Linoleic acid metabolism"
"IK_WCRMUYBCGFGNRR-LTFXTMEVSA-N","PC O-42:4","C00157","Linoleic acid metabolism"
"IK_WSJBSKRPKADYRQ-UHFFFAOYSA-N","4-Formylaminoantipyrine","C00157","Linoleic acid metabolism"
"IK_WTIIULQJLZEHGZ-AWFVSMACSA-L","(2R,3S)-2,3-dimethylmalate","C00157","Linoleic acid metabolism"
"IK_WYIMORDZGCUBAA-UHFFFAOYSA-N","LPC 19:0","C00157","Linoleic acid metabolism"
"IK_WYVKPHCYMTWUCW-UHFFFAOYSA-N","Cysteinyl-Threonine","C00157","Linoleic acid metabolism"
"IK_XEUPFPHHPCQXFV-UHFFFAOYSA-N","Panaquinquecol 7","C00157","Linoleic acid metabolism"
"IK_XGILAAMKEQUXLS-UHFFFAOYSA-N","Indolelactic acid","C00157","Linoleic acid metabolism"
"IK_XMIFBEZRFMTGRL-TURQNECASA-N","5-Taurinomethyl-2-thiouridine","C00157","Linoleic acid metabolism"
"IK_XMYFJYXXQPMWED-VQHVLOKHSA-N","5-Hydroxydec-6-enoylcarnitine","C00157","Linoleic acid metabolism"
"IK_YACHGFWEQXFSBS-XYERBDPFSA-N","Leptomycin B","C00157","Linoleic acid metabolism"
"IK_YBAFDPFAUTYYRW-YUMQZZPRSA-N","Glutamylleucine","C00157","Linoleic acid metabolism"
"IK_YVPPHAUZYVAQNM-UHFFFAOYSA-N","2-Piperidinecarboxamide, 1-butyl-N-(4-hydroxy-2,6-dimethylphenyl)-","C00157","Linoleic acid metabolism"
"IK_ZEZUHTUTOUOANR-JCGOJSMZSA-N","SM 40:1;2O|SM 18:1;2O/22:0","C00157","Linoleic acid metabolism"
"IK_ZRKZFNZPJKEWPC-UHFFFAOYSA-N","DDAO","C00157","Linoleic acid metabolism"
"IK_ZSTCZWJCLIRCOJ-DGCLKSJQSA-N","Zilpaterol","C00157","Linoleic acid metabolism"
"IK_OYHQOLUKZRVURQ-HZJYTTRNSA-N","Linoleic acid","C01595","Linoleic acid metabolism"
"IK_ZKRFOXLVOKTUTA-KQYNXXCUSA-N","6-Thioinosine-5'-monophosphate","C04646","Linoleic acid metabolism"
"IK_HWXBTNAVRSUOJR-UHFFFAOYSA-N","2-hydroxyglutaric acid","C02630","Butanoate metabolism"
"IK_JFCQEDHGNNZCLN-UHFFFAOYSA-N","Glutaric Acid","C00026","Butanoate metabolism"
"IK_KPGXRSRHYNQIFN-UHFFFAOYSA-N","Oxoglutaric acid","C00026","Butanoate metabolism"
"IK_WDJHALXBUFZDSR-UHFFFAOYSA-M","Acetoacetate","C00164","Butanoate metabolism"
"IK_UHWVSEOVJBQKBE-UHFFFAOYSA-N","TRIMETAZIDINE","C00232","Butanoate metabolism"
"IK_UIPSRRAMIULCRE-OZKVUCNRSA-N","PG(22:5(7Z,10Z,13Z,16Z,19Z)/22:5(4Z,7Z,10Z,13Z,19Z)-O(16,17))","C00232","Butanoate metabolism"
"IK_UIUJIQZEACWQSV-UHFFFAOYSA-N","Succinic acid semialdehyde","C00232","Butanoate metabolism"
"IK_BTCSSZJGUNDROE-UHFFFAOYSA-N","Gamma Aminobutyric acid","C00334","Butanoate metabolism"
"IK_WHUUTDBJXJRKMK-VKHMYHEASA-N","Glutamic acid","C00025","Butanoate metabolism"
"IK_DFPAKSUCGFBDDF-UHFFFAOYSA-N","Nicotinamide","C00003","Nicotinate and nicotinamide metabolism"
"IK_GFFGJBXGBJISGV-UHFFFAOYSA-N","Adenine","C00003","Nicotinate and nicotinamide metabolism"
"IK_JOUIQRNQJGXQDC-ZYUZMQFOSA-N","Nicotinic acid mononucleotide","C01185","Nicotinate and nicotinamide metabolism"
"IK_CKLJMWTZIZZHCS-REOHCLBHSA-N","L-Aspartic Acid","C00049","Nicotinate and nicotinamide metabolism"
"IK_PTGGMPLMNDBPGB-CXISOLTFSA-N","N-methylsphingosine","C05841","Nicotinate and nicotinamide metabolism"
"IK_KTJAFMBXBPVGGI-LTEAFHAISA-N","PE 36:3;O|PE 18:2_18:1;O","C05843","Nicotinate and nicotinamide metabolism"
"IK_KTLRWTOPTKGYQY-UHFFFAOYSA-N","N1-Methyl-4-pyridone-5-carboxamide3","C05843","Nicotinate and nicotinamide metabolism"
"IK_PVNIIMVLHYAWGP-UHFFFAOYSA-N","nicotinic acid","C00153","Nicotinate and nicotinamide metabolism"
"IK_WNLRTRBMVRJNCN-UHFFFAOYSA-N","Adipic Acid","C00322","Lysine degradation"
"IK_OYIFNHCXNCRBQI-UHFFFAOYSA-N","Aminoadipic acid","C00956","Lysine degradation"
"IK_DWKUKQRKVCMOLP-UHFFFAOYSA-N","1-Piperideine","C00450","Lysine degradation"
"IK_GFXYTQPNNXGICT-YFKPBYRVSA-N","Allysine","C04076","Lysine degradation"
"IK_KDXKERNSBIXSRK-UHFFFAOYNA-N","Lysine","C00047","Lysine degradation"
"IK_KDXKERNSBIXSRK-YFKPBYRVSA-N","L-Lysine","C00047","Lysine degradation"
"IK_YSMODUONRAFBET-UHNVWZDZSA-N","5-Hydroxylysine","C01211","Lysine degradation"
"IK_XVQDCCGQSOTQBN-RXCALXPUSA-N","12'-Apo-b-carotene-3,12'-diol","C05545","Lysine degradation"
"IK_XWYSLMAMRKYUFH-SEYXRHQNSA-N","LPC O-18:1","C05545","Lysine degradation"
"IK_JHPNVNIEXXLNTR-UHFFFAOYSA-N","DEOXYCARNITINE","C01181","Lysine degradation"
"IK_AKCRVYNORCOYQT-UHFFFAOYSA-N","N-Methylvaline","C01149","Lysine degradation"
"IK_HXEACLLIILLPRG-UHFFFAOYSA-N","Pipecolic acid","C00408","Lysine degradation"
"IK_HXEACLLIILLPRG-YFKPBYRVSA-N","L-Pipecolic acid","C00408","Lysine degradation"
"IK_NQRYJNQNLNOLGT-UHFFFAOYSA-N","Piperidine","C00408","Lysine degradation"
"IK_DTBNBXWJWCWCIK-UHFFFAOYSA-N","Phosphoenolpyruvate","C00074","Pyruvate metabolism"
"IK_BJEPYKJPYRNKOW-UHFFFAOYSA-N","malic acid","C00149","Pyruvate metabolism"
"IK_JVTAAEKCZFNVCJ-UHFFFAOYSA-N","Lactic acid","C00186","Pyruvate metabolism"
"IK_JVTAAEKCZFNVCJ-UWTATZPHSA-N","D-Lactic acid","C00256","Pyruvate metabolism"
"IK_VDYDCVUWILIYQF-CSMHCCOUSA-N","S-Lactoylglutathione","C03451","Pyruvate metabolism"
"IK_LCTONWCANYUPML-UHFFFAOYSA-N","Pyruvic Acid","C00022","Pyruvate metabolism"
"IK_KDYFGRWQOYBRFD-UHFFFAOYSA-N","Succinic acid","C00036","Pyruvate metabolism"
"IK_KHPXUQMNIQBQEV-UHFFFAOYSA-N","Oxaloacetate","C00036","Pyruvate metabolism"
"IK_VZCYOOQTPOCHFL-OWOJBTEDSA-N","fumaric acid","C00122","Pyruvate metabolism"
"IK_IXRPKRWXUJOOBZ-AVMVYAPKSA-N","Alpha-Santalyl acetate","C00124","Galactose metabolism"
"IK_GUBGYTABKSRVRQ-QKKXKWKRSA-N","lactose","C00052","Galactose metabolism"
"IK_WQZGKKKJIJFFOK-SVZMEOIVSA-N","D-Galactose","C00052","Galactose metabolism"
"IK_HXXFSFRBOHSIMQ-VFUOTHLCSA-N","glucose-1-phosphate","C00103","Galactose metabolism"
"IK_WQZGKKKJIJFFOK-GASJEMHNSA-N","glucose","C00029","Galactose metabolism"
"IK_VCWMRQDBPZKXKG-ZNVDUFQESA-N","Galactinol","C01235","Galactose metabolism"
"IK_CZMRCDWAGMRECN-UGDNZRGBSA-N","Sucrose","C00089","Galactose metabolism"
"IK_CDAISMWEOUEBRE-GPIVLXJGSA-N","myo-inositol","C00137","Galactose metabolism"
"IK_CDAISMWEOUEBRE-UHFFFAOYSA-N","Myoinositol","C00137","Galactose metabolism"
"IK_VCWMRQDBPZKXKG-ZNVDUFQESA-N","Galactinol","C01235","Galactose metabolism"
"IK_PYZZIILDSAJNLZ-QZNPSGCDSA-N","Melibiitol","C05399","Galactose metabolism"
"IK_DLRVVLDZNNYCBX-ABXHMFFYSA-N","Melibiose","C05400","Galactose metabolism"
"IK_IXRPKRWXUJOOBZ-AVMVYAPKSA-N","Alpha-Santalyl acetate","C00124","Galactose metabolism"
"IK_NHZMQXZHNVQTQA-UHFFFAOYSA-N","Pyridoxamine","C00534","Vitamin B6 metabolism"
"IK_SNICXCGAKADSCV-JTQLQIEISA-N","pyridoxal 5-phosphate","C00018","Vitamin B6 metabolism"
"NO_INCHIKEY__pl","PL","C00018","Vitamin B6 metabolism"
"IK_LXNHXLLTXMVWPM-UHFFFAOYSA-N","Pyridoxine","C00314","Vitamin B6 metabolism"
"IK_HXACOUQIXZGNBF-UHFFFAOYSA-N","4-Pyridoxic Acid","C00847","Vitamin B6 metabolism"
"IK_OIPILFWXSMYKGL-UHFFFAOYSA-N","Acetylcholine","C01996","Glycerophospholipid metabolism"
"IK_YHHSONZFOIEMCP-UHFFFAOYSA-N","Choline Phosphate","C00588","Glycerophospholipid metabolism"
"IK_NIPLIJLVGZCKMP-UHFFFAOYSA-M","Neurine","C00114","Glycerophospholipid metabolism"
"IK_OEYIOHPDSNJKLS-UHFFFAOYSA-N","Choline","C00114","Glycerophospholipid metabolism"
"IK_AEAMHDRXCYEOCU-HTDYWKJCSA-N","PC(18:0/18:1(11Z))","C00157","Glycerophospholipid metabolism"
"IK_AHWXJDWBIIDPKS-TZUVPVEASA-N","GPCho(22:6/18:0)","C00157","Glycerophospholipid metabolism"
"IK_ATHVAWFAEPLPPQ-VRDBWYNSSA-N","PC 36:1","C00157","Glycerophospholipid metabolism"
"IK_AXZGUCXCTZMPTR-UVGACIQRSA-N","PC(18:0/22:4(7Z,10Z,13Z,16Z))","C00157","Glycerophospholipid metabolism"
"IK_BETFSIOJEATXGY-WOCLASLBSA-N","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z))","C00157","Glycerophospholipid metabolism"
"IK_BFZDKPVWJYFECC-OFCLATOASA-N","PC aa C34:4","C00157","Glycerophospholipid metabolism"
"IK_BHWGKAVGUMMQIW-UVZRHDGTSA-N","PC 40:7|PC 20:3_20:4","C00157","Glycerophospholipid metabolism"
"IK_BNLANPMAYYCMLY-LCXZALMSSA-N","PC(18:1(9Z)/P-18:1(9Z))","C00157","Glycerophospholipid metabolism"
"IK_CEJUIQBITPKHHY-OWEZASBCSA-N","PC(20:4(8Z,11Z,14Z,17Z)/18:2(9Z,12Z))","C00157","Glycerophospholipid metabolism"
"IK_DGBYUHHIADYUMU-UESLNCBNSA-N","GPCho(15:0/18:2)","C00157","Glycerophospholipid metabolism"
"IK_DLZPSAPMHALIOA-YNCVDBFYSA-N","GPCho(20:0/18:3)","C00157","Glycerophospholipid metabolism"
"IK_DPEYXLDDNACOGV-ANVMUZGGSA-N","PC(18:1(11Z)/18:3(9Z,12Z,15Z))","C00157","Glycerophospholipid metabolism"
"IK_DZPKSVTWWIZUMS-FPUNCOTOSA-N","PC(18:2(9Z,12Z)/18:0)","C00157","Glycerophospholipid metabolism"
"IK_FAUYAENFVCNTAL-PFFNLMTBSA-N","PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C00157","Glycerophospholipid metabolism"
"IK_FBCNXALHPSQUQY-WKABSKOFSA-N","PC(20:4(8Z,11Z,14Z,17Z)/18:0)","C00157","Glycerophospholipid metabolism"
"IK_FHENRYRLCPXONH-LDLOPFEMSA-N","PC 33:0","C00157","Glycerophospholipid metabolism"
"IK_FHUAYOMRHXZKHT-JUGJLYODSA-N","PC 40:4","C00157","Glycerophospholipid metabolism"
"IK_FKEIHZHIVAFDLO-RYPYTVSESA-N","PC(22:1(13Z)/22:5(4Z,7Z,10Z,13Z,16Z))","C00157","Glycerophospholipid metabolism"
"IK_FMBYBTSZVHUJMV-DIVFMYBRSA-N","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0)","C00157","Glycerophospholipid metabolism"
"IK_FORFDCPQKJHEBF-HUESYALOSA-N","PC(18:0/18:2(9Z,12Z))","C00157","Glycerophospholipid metabolism"
"IK_FQVFGIZCMMQDNV-NQQLFREJSA-N","PC(18:1(9Z)/P-16:0)","C00157","Glycerophospholipid metabolism"
"IK_FVXDQWZBHIXIEJ-LNDKUQBDSA-N","PC(18:2(9Z,12Z)/18:2(9Z,12Z))","C00157","Glycerophospholipid metabolism"
"IK_FWMYJLDHIVCJCT-RRHRGVEJSA-N","PC(18:2(9Z,12Z)/16:0)","C00157","Glycerophospholipid metabolism"
"IK_GIPZQCAVEQRWOM-IKJFKDIMSA-N","PC aa C38:1","C00157","Glycerophospholipid metabolism"
"IK_GJRXIEGNAMFGOV-VEOGPPBOSA-N","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-16:0)","C00157","Glycerophospholipid metabolism"
"IK_GPWHCUUIQMGELX-VHQDNGOZSA-N","PC 32:2","C00157","Glycerophospholipid metabolism"
"IK_GQQALHZKRGXRTO-AEMURDCYSA-N","PC(20:0/20:5(5Z,8Z,11Z,14Z,17Z))","C00157","Glycerophospholipid metabolism"
"IK_IESVDEZGAHUQJU-ZLBXKVHBSA-N","PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C00157","Glycerophospholipid metabolism"
"IK_IJPRFXKJWFQONJ-UHFFFAOYSA-N","Desmethyltetrahydropiperine sulfate","C00157","Glycerophospholipid metabolism"
"IK_IORKBJYFXXCDMP-GMGFYYQASA-N","PC(18:2(9Z,12Z)/14:0)","C00157","Glycerophospholipid metabolism"
"IK_IPMVHVDAYPUFKH-WYRBGLKBSA-N","PC(16:1(9Z)/16:0)","C00157","Glycerophospholipid metabolism"
"IK_JAVWFBAAZSHHAD-HCYAGMRRSA-N","PC(16:0/20:4(8Z,11Z,14Z,17Z))","C00157","Glycerophospholipid metabolism"
"IK_JHMWTEQGLBMSLG-DMHZMEFUSA-N","GPCho(20:3/20:3)","C00157","Glycerophospholipid metabolism"
"IK_JLIPBVWMWUWERT-HNQUOIGGSA-N","Hydroxydesmethylpiperine sulfate","C00157","Glycerophospholipid metabolism"
"IK_JPIJQSOTBSSVTP-GBXIJSLDSA-N","isothreonic acid","C00157","Glycerophospholipid metabolism"
"IK_KNHXCLGABLNNRN-FFSDQCCLSA-N","PC O-34:4|PC O-16:2_18:2","C00157","Glycerophospholipid metabolism"
"IK_LJARBVLDSOWRJT-PSXMRANNSA-N","PC(15:0/15:0)","C00157","Glycerophospholipid metabolism"
"IK_LYFMZJCIGLZMJF-IRSYNFPBSA-N","PE(P-16:0/22:2(13Z,16Z))","C00157","Glycerophospholipid metabolism"
"IK_LZCOQTDXKCNBEE-RUTJIGONSA-N","3-Oxa-9-azoniatricyclo[3.3.1.02,4]nonane, 9-ethyl-7-hydroxy-9-methyl-","C00157","Glycerophospholipid metabolism"
"IK_LZLVZIFMYXDKCN-QJWFYWCHSA-N","GPCho(20:4/20:4)","C00157","Glycerophospholipid metabolism"
"IK_LZRYNUIYHHQTRL-NBZVOYHKSA-N","Lisinopril, epsilon-biotinamidocaproyl-","C00157","Glycerophospholipid metabolism"
"IK_MROJXXOCABQVEF-UHFFFAOYSA-N","Actarit","C00157","Glycerophospholipid metabolism"
"IK_MRPDHXXPDCVBPQ-AATRIKPKSA-N","(3S,5R,6S,7E,9x)-7-Megastigmene-3,6,9-triol 9-glucoside","C00157","Glycerophospholipid metabolism"
"IK_MRUAUOIMASANKQ-UHFFFAOYSA-N","Cocamidopropyl Betaine","C00157","Glycerophospholipid metabolism"
"IK_NCBOXCFFSWALMZ-XTNBEGJDSA-N","Bergenin Pentaacetate","C00157","Glycerophospholipid metabolism"
"IK_NCGLTZSBTFVVAW-KNXRZYMVSA-N","Minaxolone","C00157","Glycerophospholipid metabolism"
"IK_NRJAVPSFFCBXDT-HUESYALOSA-N","phosphatidylcholine","C00157","Glycerophospholipid metabolism"
"IK_PLOUQIGEQKCKHG-UHFFFAOYSA-N","3-Methylazelaic acid","C00157","Glycerophospholipid metabolism"
"IK_PNEJUHLZEPRMHF-UHFFFAOYSA-N","6-Hydroxypentadecanedioic acid","C00157","Glycerophospholipid metabolism"
"IK_PWSKCIUNCJJBIX-RXDOKCLVSA-N","PG(5-iso PGF2VI/a-13:0)","C00157","Glycerophospholipid metabolism"
"IK_PXVMEXBCFJTGCL-RCHUDCCISA-N","N-Eicosapentaenoyl Phenylalanine","C00157","Glycerophospholipid metabolism"
"IK_QHVMVGMCKWPDHT-UHFFFAOYSA-N","Fluorescein thiohydantoin","C00157","Glycerophospholipid metabolism"
"IK_QKAITYIDZJJULL-UHFFFAOYSA-N","2-[(5-bromopyridin-2-yl)amino]-4-methyl-N-propyl-1,3-thiazole-5-carboxamide","C00157","Glycerophospholipid metabolism"
"IK_QKNCKSQAXGWPIK-FOWTUZBSSA-N","Caffeoylcycloartenol","C00157","Glycerophospholipid metabolism"
"IK_RAGZUCNPTLULOL-KQJPBSFVSA-N","3-Feruloylquinic acid","C00157","Glycerophospholipid metabolism"
"IK_RALVCBWUWHJOGL-OPMJLWCUSA-N","Myricatomentoside I","C00157","Glycerophospholipid metabolism"
"IK_RFHSOKOVHMEMLA-JCMJOHBISA-N","TG 46:2","C00157","Glycerophospholipid metabolism"
"IK_RFPQMVKZNQOUGY-KXYOHKLBSA-N","PE O-16:1_18:1","C00157","Glycerophospholipid metabolism"
"IK_RRKQXBKNDQFCNC-MTGPGUOHSA-N","1-alpha-methyl-5-alpha-androstan-3-alpha,17-beta-diol glucuronide","C00157","Glycerophospholipid metabolism"
"IK_RRTYEHFGQWNQKK-KIQAWMAPSA-N","12-Keto-tetrahydro-leukotriene B4","C00157","Glycerophospholipid metabolism"
"IK_SPURMHFLEKVAAS-UHFFFAOYSA-N","Docosene","C00157","Glycerophospholipid metabolism"
"IK_SUWZHLCNFQWNPE-LATRNWQMSA-N","Ethylhydrocupreine","C00157","Glycerophospholipid metabolism"
"IK_VGSSUFQMXBFFTM-METNKUIYSA-N","(3beta,5alpha,6beta,24R)-Stigmastane-3,5,6-triol","C00157","Glycerophospholipid metabolism"
"IK_VHMKGBYCXDBNFU-CVWCHQOZSA-N","4'-Methoxymucidin","C00157","Glycerophospholipid metabolism"
"IK_VIHYIVKEECZGOU-UHFFFAOYSA-N","1-Acetylimidazole","C00157","Glycerophospholipid metabolism"
"IK_VYZAGTDAHUIRQA-WHFBIAKZSA-N","Ala-Glu","C00157","Glycerophospholipid metabolism"
"IK_VZJHQHUOVIDRCF-UHFFFAOYSA-N","3-Isolongifolol","C00157","Glycerophospholipid metabolism"
"IK_WAAPEIZFCHNLKK-PELKAZGASA-N","(2R,4S)-2-Aminoformyl-6-fluoro-spiro[chroman-4,4'-imidazolidine]-2',5'-dione","C00157","Glycerophospholipid metabolism"
"IK_WCFPKRXBSJDTMS-LGVIUEQGSA-N","FA 19:1","C00157","Glycerophospholipid metabolism"
"IK_WCRMUYBCGFGNRR-LTFXTMEVSA-N","PC O-42:4","C00157","Glycerophospholipid metabolism"
"IK_WSJBSKRPKADYRQ-UHFFFAOYSA-N","4-Formylaminoantipyrine","C00157","Glycerophospholipid metabolism"
"IK_WTIIULQJLZEHGZ-AWFVSMACSA-L","(2R,3S)-2,3-dimethylmalate","C00157","Glycerophospholipid metabolism"
"IK_WYIMORDZGCUBAA-UHFFFAOYSA-N","LPC 19:0","C00157","Glycerophospholipid metabolism"
"IK_WYVKPHCYMTWUCW-UHFFFAOYSA-N","Cysteinyl-Threonine","C00157","Glycerophospholipid metabolism"
"IK_XEUPFPHHPCQXFV-UHFFFAOYSA-N","Panaquinquecol 7","C00157","Glycerophospholipid metabolism"
"IK_XGILAAMKEQUXLS-UHFFFAOYSA-N","Indolelactic acid","C00157","Glycerophospholipid metabolism"
"IK_XMIFBEZRFMTGRL-TURQNECASA-N","5-Taurinomethyl-2-thiouridine","C00157","Glycerophospholipid metabolism"
"IK_XMYFJYXXQPMWED-VQHVLOKHSA-N","5-Hydroxydec-6-enoylcarnitine","C00157","Glycerophospholipid metabolism"
"IK_YACHGFWEQXFSBS-XYERBDPFSA-N","Leptomycin B","C00157","Glycerophospholipid metabolism"
"IK_YBAFDPFAUTYYRW-YUMQZZPRSA-N","Glutamylleucine","C00157","Glycerophospholipid metabolism"
"IK_YVPPHAUZYVAQNM-UHFFFAOYSA-N","2-Piperidinecarboxamide, 1-butyl-N-(4-hydroxy-2,6-dimethylphenyl)-","C00157","Glycerophospholipid metabolism"
"IK_ZEZUHTUTOUOANR-JCGOJSMZSA-N","SM 40:1;2O|SM 18:1;2O/22:0","C00157","Glycerophospholipid metabolism"
"IK_ZRKZFNZPJKEWPC-UHFFFAOYSA-N","DDAO","C00157","Glycerophospholipid metabolism"
"IK_ZSTCZWJCLIRCOJ-DGCLKSJQSA-N","Zilpaterol","C00157","Glycerophospholipid metabolism"
"IK_HZAXFHJVJLSVMW-UHFFFAOYSA-N","Ethanolamine","C00189","Glycerophospholipid metabolism"
"IK_PEDCQBHIVMGVHV-UHFFFAOYSA-N","glycerol","C00093","Glycerophospholipid metabolism"
"IK_PABVKUJVLNMOJP-UHFFFAOYSA-M","Glutamyl-Cysteine","C00416","Glycerophospholipid metabolism"
"IK_PAHMCFUSNIRFHK-UKPQPXGPSA-N","DG(PGE2/12:0/0:0)","C00416","Glycerophospholipid metabolism"
"IK_ZPVOLGVTNLDBFI-UHFFFAOYSA-N","(+/-)-2,2,6-Trimethylcyclohexanone","C00416","Glycerophospholipid metabolism"
"IK_ZQRJDNRTBNYEER-NWBJSICCSA-N","Cer-NS d39:1","C00416","Glycerophospholipid metabolism"
"IK_AJTJVNKPLZTLHV-RJJHQZCFSA-N","PE(18:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z))","C00350","Glycerophospholipid metabolism"
"IK_ANRKEHNWXKCXDB-BHFWLYLHSA-N","PE 38:4","C00350","Glycerophospholipid metabolism"
"IK_BLHQFTDZMFXXHV-LLPREHSBSA-N","GPEtn(22:5/16:0)","C00350","Glycerophospholipid metabolism"
"IK_CGGKIILOLKTYHS-LJGQSTEHSA-N","GPEtn(16:1/22:5)","C00350","Glycerophospholipid metabolism"
"IK_CZOSTDZGCCEZTJ-WMHOIYFHSA-N","PE 16:0_16::1","C00350","Glycerophospholipid metabolism"
"IK_DRIVXEVMDWCWLI-CAQMIEAISA-N","PE(16:0/20:4(5Z,8Z,11Z,14Z))","C00350","Glycerophospholipid metabolism"
"IK_DUQDVNACTOXOJA-KTKXOIIHSA-N","PE 36:4","C00350","Glycerophospholipid metabolism"
"IK_FHQVHHIBKUMWTI-OTMQOFQLSA-N","PE 34:1","C00350","Glycerophospholipid metabolism"
"IK_FLWFZAGAZMHZQM-IVWGLPAOSA-N","PE(24:1(15Z)/15:0)","C00350","Glycerophospholipid metabolism"
"IK_FXGOEHDEIHUMCP-XNGCGXPYSA-N","PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z))","C00350","Glycerophospholipid metabolism"
"IK_FXYFFYOQPWNFJZ-XGKJNDTMSA-N","PE(15:0/20:2(11Z,14Z))","C00350","Glycerophospholipid metabolism"
"IK_GUMSBNXGPBAONF-UBRVPYPMSA-N","PE(20:3(8Z,11Z,14Z)/24:1(15Z))","C00350","Glycerophospholipid metabolism"
"IK_HMARMWSETGYKDK-AOGVJQIJSA-N","PE(14:0/18:2(9Z,12Z))","C00350","Glycerophospholipid metabolism"
"IK_HNFSZKRUPTYBOQ-ZDYOIFAYSA-N","PE(18:0/22:4(7Z,10Z,13Z,16Z))","C00350","Glycerophospholipid metabolism"
