"from","to","weight"
"IK_FWWQKRXKHIRPJY-UHFFFAOYSA-N","UNKNOWN_ROW__24167579__unknown_97",0.00390625
"IK_FXGOEHDEIHUMCP-XNGCGXPYSA-N","IK_IXSYVBCFIGEECR-JLNKQSITSA-N",0.04
"IK_FXGOEHDEIHUMCP-XNGCGXPYSA-N","IK_LRTCKJJOUNZFDD-DBHIXKHWSA-N",0.04
"IK_FXYFFYOQPWNFJZ-XGKJNDTMSA-N","IK_URPXXNCTXCOATD-FXMFQVEGSA-N",0.25
"IK_FXYSHYMHTAACSV-FTHMGGAWSA-N","IK_VLULRUCCHYVXOH-UHFFFAOYSA-N",0.111111111111111
"IK_FYIKIBQJAJRKQM-WNCNYDOCSA-N","IK_QPXTXCACGFCAKL-HNHHUQGDSA-N",0.25
"IK_FYSRHTXDKAIONW-DRTAPUJOSA-N","IK_GXOMMGAFBINOJY-SLINCCQESA-M",0.0625
"IK_FYSRHTXDKAIONW-DRTAPUJOSA-N","IK_XKBJVQHMEXMFDZ-AREMUKBSSA-N",0.0625
"IK_FYVQCLGZFXHEGL-UHFFFAOYSA-N","IK_JLPUXFOGCDVKGO-TUAOUCFPSA-N",0.0123456790123457
"IK_FYVQCLGZFXHEGL-UHFFFAOYSA-N","IK_MAZWDMBCPDUFDJ-VQHVLOKHSA-N",0.0123456790123457
"IK_FYVQCLGZFXHEGL-UHFFFAOYSA-N","IK_QWUWMCYKGHVNAV-UHFFFAOYSA-N",0.0123456790123457
"IK_FYVQCLGZFXHEGL-UHFFFAOYSA-N","IK_SGJNQVTUYXCBKH-HNQUOIGGSA-N",0.0123456790123457
"IK_FYVQCLGZFXHEGL-UHFFFAOYSA-N","IK_VXQBJTKSVGFQOL-UHFFFAOYSA-N",0.0123456790123457
"IK_FYVQCLGZFXHEGL-UHFFFAOYSA-N","IK_ZGKDAEWLTNBSEJ-GHMZBOCLSA-N",0.0123456790123457
"IK_FYVQCLGZFXHEGL-UHFFFAOYSA-N","IK_ZVDPYSVOZFINEE-BQBZGAKWSA-N",0.0123456790123457
"IK_FYVQCLGZFXHEGL-UHFFFAOYSA-N","UNKNOWN_ROW__35829770__unknown_369",0.0123456790123457
"IK_FYYIUODUDSPAJQ-XVBQNVSMSA-N","IK_KPWKPGFLZGMMFX-VHSXEESVSA-N",0.00510204081632653
"IK_FYYIUODUDSPAJQ-XVBQNVSMSA-N","IK_MHDVGSVTJDSBDK-UHFFFAOYSA-N",0.00510204081632653
"IK_FYYIUODUDSPAJQ-XVBQNVSMSA-N","IK_PLNJUBIUGVATKW-SNAWJCMRSA-N",0.00510204081632653
"IK_FYYIUODUDSPAJQ-XVBQNVSMSA-N","IK_QZAYGJVTTNCVMB-UHFFFAOYSA-N",0.00510204081632653
"IK_FYYIUODUDSPAJQ-XVBQNVSMSA-N","IK_SCIFESDRCALIIM-VIFPVBQESA-N",0.00510204081632653
"IK_FYYIUODUDSPAJQ-XVBQNVSMSA-N","IK_UARKDOLETOEBCU-UHFFFAOYSA-N",0.00510204081632653
"IK_FYYIUODUDSPAJQ-XVBQNVSMSA-N","IK_XEVQXKKKAVVSMW-WRWORJQWSA-N",0.00510204081632653
"IK_FYYIUODUDSPAJQ-XVBQNVSMSA-N","IK_XLUAWXQORJEMBD-YUMQZZPRSA-N",0.00510204081632653
"IK_FYYIUODUDSPAJQ-XVBQNVSMSA-N","IK_ZBXYMKUZCWCGPC-BDWKERMESA-N",0.00510204081632653
"IK_FYYIUODUDSPAJQ-XVBQNVSMSA-N","IK_ZXVONLUNISGICL-UHFFFAOYSA-N",0.00510204081632653
"IK_FYYIUODUDSPAJQ-XVBQNVSMSA-N","UNKNOWN_ROW__35829770__unknown_309",0.00510204081632653
"IK_FYYSIASRLDJUNP-WHFBIAKZSA-N","IK_IZEZNNYKKNVXNA-UHFFFAOYSA-N",0.00591715976331361
"IK_FYYSIASRLDJUNP-WHFBIAKZSA-N","IK_KDGAYJIGGCDHPH-UWVGGRQHSA-N",0.00591715976331361
"IK_FYYSIASRLDJUNP-WHFBIAKZSA-N","IK_MYFMARDICOWMQP-YUMQZZPRSA-N",0.00591715976331361
"IK_FYYSIASRLDJUNP-WHFBIAKZSA-N","IK_NBSCHQHZLSJFNQ-QTVWNMPRSA-N",0.00591715976331361
"IK_FYYSIASRLDJUNP-WHFBIAKZSA-N","IK_NGHVIOIJCVXTGV-ALEPSDHESA-N",0.00591715976331361
"IK_FYYSIASRLDJUNP-WHFBIAKZSA-N","IK_OFZCIYFFPZCNJE-UHFFFAOYSA-N",0.00591715976331361
"IK_FYYSIASRLDJUNP-WHFBIAKZSA-N","IK_SNFUTDLOCQQRQD-ZKWXMUAHSA-N",0.00591715976331361
"IK_FYYSIASRLDJUNP-WHFBIAKZSA-N","IK_XNKLLVCARDGLGL-JGVFFNPUSA-N",0.00591715976331361
"IK_FYYSIASRLDJUNP-WHFBIAKZSA-N","UNKNOWN_ROW__24167579__unknown_90",0.00591715976331361
"IK_FYYSIASRLDJUNP-WHFBIAKZSA-N","UNKNOWN_ROW__24167579__unknown_91",0.00591715976331361
"IK_FYYSIASRLDJUNP-WHFBIAKZSA-N","UNKNOWN_ROW__35829770__unknown_242",0.00591715976331361
"IK_FYYSIASRLDJUNP-WHFBIAKZSA-N","UNKNOWN_ROW__35829770__unknown_279",0.00591715976331361
"IK_FZAYDNUFXQMOCM-SSTSLOEUSA-N","IK_OMHUCGDTACNQEX-OSHKXICASA-N",0.25
"IK_FZERHIULMFGESH-UHFFFAOYSA-N","IK_IWYDHOAUDWTVEP-UHFFFAOYSA-N",0.00390625
"IK_FZERHIULMFGESH-UHFFFAOYSA-N","IK_JYPHNHPXFNEZBR-UHFFFAOYSA-N",0.00390625
"IK_FZERHIULMFGESH-UHFFFAOYSA-N","IK_JZKXXXDKRQWDET-UHFFFAOYSA-N",0.00390625
"IK_FZERHIULMFGESH-UHFFFAOYSA-N","IK_MSWZFWKMSRAUBD-HOWGCPQDSA-N",0.00390625
"IK_FZERHIULMFGESH-UHFFFAOYSA-N","IK_MSWZFWKMSRAUBD-QZABAPFNSA-N",0.00390625
"IK_FZERHIULMFGESH-UHFFFAOYSA-N","IK_MSWZFWKMSRAUBD-UZJJNQGWSA-N",0.00390625
"IK_FZERHIULMFGESH-UHFFFAOYSA-N","IK_OTTXIFWBPRRYOG-UHFFFAOYSA-N",0.00390625
"IK_FZERHIULMFGESH-UHFFFAOYSA-N","IK_QIAFMBKCNZACKA-UHFFFAOYSA-N",0.00390625
"IK_FZERHIULMFGESH-UHFFFAOYSA-N","IK_RPHLQSHHTJORHI-UHFFFAOYSA-N",0.00390625
"IK_FZERHIULMFGESH-UHFFFAOYSA-N","IK_XZOSNHNAQRVGSZ-UHFFFAOYSA-N",0.00390625
"IK_FZERHIULMFGESH-UHFFFAOYSA-N","IK_ZFXYFBGIUFBOJW-UHFFFAOYSA-N",0.00390625
"IK_FZERHIULMFGESH-UHFFFAOYSA-N","UNKNOWN_ROW__35829770__unknown_246",0.00390625
"IK_FZERHIULMFGESH-UHFFFAOYSA-N","UNKNOWN_ROW__35829770__unknown_289",0.00390625
"IK_FZERHIULMFGESH-UHFFFAOYSA-N","UNKNOWN_ROW__35829770__unknown_296",0.00390625
"IK_FZWGECJQACGGTI-UHFFFAOYSA-N","IK_HFXAFXVXPMUQCQ-BYPYZUCNSA-N",0.00390625
"IK_FZWGECJQACGGTI-UHFFFAOYSA-N","IK_HXEACLLIILLPRG-UHFFFAOYSA-N",0.00390625
"IK_FZWGECJQACGGTI-UHFFFAOYSA-N","IK_IOQPZZOEVPZRBK-UHFFFAOYSA-N",0.00390625
"IK_FZWGECJQACGGTI-UHFFFAOYSA-N","IK_IVYPNXXAYMYVSP-UHFFFAOYSA-N",0.00390625
"IK_FZWGECJQACGGTI-UHFFFAOYSA-N","IK_JQVDAXLFBXTEQA-UHFFFAOYSA-N",0.00390625
"IK_FZWGECJQACGGTI-UHFFFAOYSA-N","IK_KABXUUFDPUOJMW-BYPYZUCNSA-N",0.00390625
"IK_FZWGECJQACGGTI-UHFFFAOYSA-N","IK_NILQLFBWTXNUOE-UHFFFAOYSA-N",0.00390625
"IK_FZWGECJQACGGTI-UHFFFAOYSA-N","IK_ODHCTXKNWHHXJC-GSVOUGTGSA-N",0.00390625
"IK_FZWGECJQACGGTI-UHFFFAOYSA-N","IK_OSCCDBFHNMXNME-UHFFFAOYSA-N",0.00390625
"IK_FZWGECJQACGGTI-UHFFFAOYSA-N","IK_QUCHWTCTBHQQDU-UHFFFAOYSA-N",0.00390625
"IK_FZWGECJQACGGTI-UHFFFAOYSA-N","IK_XZWYZXLIPXDOLR-UHFFFAOYSA-N",0.00390625
"IK_GAGWJHPBXLXJQN-UORFTKCHSA-N","IK_HZDLKNOGBSMKRN-UHFFFAOYSA-N",0.0204081632653061
"IK_GAGWJHPBXLXJQN-UORFTKCHSA-N","IK_KKUOJZVNLJCTPF-UHFFFAOYSA-N",0.0204081632653061
"IK_GAGWJHPBXLXJQN-UORFTKCHSA-N","IK_MDDUIRLQCYVRDO-NHCYSSNCSA-N",0.0204081632653061
"IK_GAGWJHPBXLXJQN-UORFTKCHSA-N","IK_SRVFFFJZQVENJC-IHRRRGAJSA-N",0.0204081632653061
"IK_GAGWJHPBXLXJQN-UORFTKCHSA-N","IK_TYMABNNERDVXID-DLYFRVTGSA-N",0.0204081632653061
"IK_GAGWJHPBXLXJQN-UORFTKCHSA-N","IK_VDYDCVUWILIYQF-CSMHCCOUSA-N",0.0204081632653061
"IK_GAGYTXTVUMXAOC-RRKCRQDMSA-N","IK_KLLGGGQNRTVBSU-FQSPHKRJSA-N",0.01
"IK_GAGYTXTVUMXAOC-RRKCRQDMSA-N","IK_KMDRUUGMNYPPJH-UHFFFAOYSA-N",0.01
"IK_GAGYTXTVUMXAOC-RRKCRQDMSA-N","IK_LSFLNLHTOKKPHT-UHFFFAOYSA-N",0.01
"IK_GAGYTXTVUMXAOC-RRKCRQDMSA-N","IK_MHMUCYJKZUZMNJ-OWOJBTEDSA-N",0.01
"IK_GAGYTXTVUMXAOC-RRKCRQDMSA-N","IK_PYINVOHSOZSEPB-DKGLCQEFSA-N",0.01
"IK_GAGYTXTVUMXAOC-RRKCRQDMSA-N","IK_RYCNUMLMNKHWPZ-SNVBAGLBSA-N",0.01
"IK_GAGYTXTVUMXAOC-RRKCRQDMSA-N","IK_XIVFQYWMMJWUCD-VSTJRZLJSA-N",0.01
"IK_GAGYTXTVUMXAOC-RRKCRQDMSA-N","UNKNOWN_ROW__24167579__unknown_100",0.01
"IK_GAGYTXTVUMXAOC-RRKCRQDMSA-N","UNKNOWN_ROW__24167579__unknown_99",0.01
"IK_GAQNUGISBQJMKO-UHFFFAOYSA-N","IK_HHMMIZFWFLNZEU-UHFFFAOYSA-N",0.0123456790123457
"IK_GAQNUGISBQJMKO-UHFFFAOYSA-N","IK_HOMAGVUCNZNWBC-UHFFFAOYSA-N",0.0123456790123457
"IK_GAQNUGISBQJMKO-UHFFFAOYSA-N","IK_HUGUGFBIYQBLCS-UHFFFAOYSA-N",0.0123456790123457
"IK_GAQNUGISBQJMKO-UHFFFAOYSA-N","IK_OTKJDMGTUTTYMP-ZWKOTPCHSA-N",0.0123456790123457
"IK_GAQNUGISBQJMKO-UHFFFAOYSA-N","IK_RXACEEPNTRHYBQ-UHFFFAOYSA-N",0.0123456790123457
"IK_GAQNUGISBQJMKO-UHFFFAOYSA-N","IK_VCSCPMNEABGTIT-MDTVQASCSA-L",0.0123456790123457
"IK_GAQNUGISBQJMKO-UHFFFAOYSA-N","IK_ZYOPDNLIHHFGEC-FNORWQNLSA-N",0.0123456790123457
"IK_GAWUJFVQGSLSSZ-SZRCHTAPSA-N","IK_GFZHNFOGCMEYTA-UHFFFAOYSA-N",0.111111111111111
"IK_GBDRMPRTNVKBAD-BYPYZUCNSA-N","IK_HYVABZIGRDEKCD-UHFFFAOYSA-N",0.00694444444444444
"IK_GBDRMPRTNVKBAD-BYPYZUCNSA-N","IK_PAJPWUMXBYXFCZ-UHFFFAOYSA-N",0.00694444444444444
"IK_GBDRMPRTNVKBAD-BYPYZUCNSA-N","IK_RCFDOSNHHZGBOY-ACZMJKKPSA-N",0.00694444444444444
"IK_GBDRMPRTNVKBAD-BYPYZUCNSA-N","IK_XULZWQRXYTVUTE-UHFFFAOYSA-N",0.00694444444444444
"IK_GBDRMPRTNVKBAD-BYPYZUCNSA-N","IK_ZRKZFNZPJKEWPC-UHFFFAOYSA-N",0.00694444444444444
"IK_GBDRMPRTNVKBAD-BYPYZUCNSA-N","UNKNOWN_ROW__24167579__unknown_31",0.00694444444444444
"IK_GBDRMPRTNVKBAD-BYPYZUCNSA-N","UNKNOWN_ROW__35829770__unknown_297",0.00694444444444444
"IK_GBDRMPRTNVKBAD-BYPYZUCNSA-N","UNKNOWN_ROW__35829770__unknown_381",0.00694444444444444
