PC1,PC2,entity_id,canonical_metabolite,study_id,matrix_clean,mode_clean,phase_clean
0.0022044186922395466,-0.07062083908073047,IK_NLMDZXKCTWKRSQ-IBISWUOJSA-N,"[(2S,3S,4S,5S,6R)-4,5-Dihydroxy-2,6-dimethyloxan-3-yl] hydrogen sulfate",MTBLS11904,plasma,Negative,Reverse phase/C18
0.03698950535389581,-0.06798368099516246,IK_NLPBBNGDXNHAJP-AATRIKPKSA-N,9-Hydroxy-7-megastigmen-3-one glucoside,MTBLS11904,plasma,Positive,Reverse phase/C18
0.093169625570411585,-0.06395788864036629,IK_NLRKCXQQSUWLCH-UHFFFAOYSA-N,Nitrosobenzene,MTBLS11904,plasma,Negative,Reverse phase/C18
0.46310250828459076,-0.03634463496050318,IK_NLUNAYAEIJYXRB-HEJOTXCHSA-N,"8-hydroxy-5Z,9E,11Z,14Z-eicosatetraenoic acid",MTBLS11904,plasma,Positive,Reverse phase/C18
-0.18099637758042,-0.08403979288635137,IK_NMDWGEGFJUBKLB-UHFFFAOYSA-N,2-Acetolactate,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.2012633898497431,-0.08552429519700602,IK_NMDWGEGFJUBKLB-YFKPBYRVSA-N,(S)-2-Acetolactate,MTBLS11904,plasma,Negative,Reverse phase/C18
0.6507437155457152,-0.022412206899076956,IK_NMEZJSDUZQOPFE-UHFFFAOYSA-N,1-Cyclohexene-1-carboxylic acid,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.1428849400669534,-0.08124823515727231,IK_NMGVHLDIHNFGQB-ZGLWHBDZSA-N,Rhamnetin 3-rhamninoside,MTBLS11904,plasma,Negative,Reverse phase/C18
0.7446979530797727,-0.016235233554305478,IK_NMHMNPHRMNGLLB-UHFFFAOYSA-N,Desaminotyrosine,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.18977057504217637,-1.7058434198413543,IK_NMHMNPHRMNGLLB-UHFFFAOYSA-N,Desaminotyrosine,28880465,serum,Positive,LC-MS/unspecified
1.4642401170208723,-0.9763626062673553,IK_NMPZCCZXCOMSDQ-ZRTZXPPTSA-N,"Cytidine 2 ?Ã³?Ã³?Ã‡Ãœ?Â¼?Ã©??,3 ?Ã³?Ã³?Ã‡Ãœ?Â¼?Ã©??-cyclic phosphate",29518718,plasma,Positive,LC-MS/unspecified
-0.03200754601904858,-0.07310673785667603,IK_NNAIYOXJNVGUOM-UHFFFAOYSA-N,Amperozide,MTBLS11904,plasma,Positive,Reverse phase/C18
0.03795235671812232,-0.06800240109554377,IK_NNEIBJNHWVDJBA-GYSLYLNXSA-N,Deoxycholic acid 3-glucuronide,MTBLS11904,plasma,Negative,Reverse phase/C18
0.10077923146264435,-0.0632472706784171,IK_NNIGBOAAXZMMQM-DTQAZKPQSA-N,(10Z)-12-Hydroxyhexadecenoylcarnitine,MTBLS11904,plasma,Positive,Reverse phase/C18
0.5926953575220559,-0.02736900509035113,IK_NNLLMULULOBXBY-PLNGDYQASA-N,Cis-3-Hexenyl lactate,MTBLS11904,plasma,Negative,Reverse phase/C18
0.42707309285920325,-0.039500379694156124,IK_NNNVXFKZMRGJPM-KHPPLWFESA-N,Sapienic acid,MTBLS11904,plasma,Negative,Reverse phase/C18
5.523340488785873,0.33378716601394653,IK_NNULBSISHYWZJU-LLKWHZGFSA-N,Ceftizoxime,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.2528467784342164,-0.08930263690925729,IK_NODSEPOUFZPJEQ-UHFFFAOYSA-N,Thymol Sulfate,MTBLS11904,plasma,Negative,Reverse phase/C18
-2.455122144659574,2.206794266367968,IK_NOIIUHRQUVNIDD-UHFFFAOYSA-N,Nialamide,38720721,serum,Not reported,Reverse phase/C18
-0.012140145797336497,-0.07167458976917357,IK_NOKPBJYHPHHWAN-REOHCLBHSA-N,cysteine-S-sulfate,MTBLS11904,plasma,Negative,Reverse phase/C18
0.6445125836698727,-0.1257898015612218,IK_NOOJLZTTWSNHOX-UWVGGRQHSA-N,Melanostatin,ST003159,serum,Positive,HILIC
0.8642510594695076,-0.14194312562101374,IK_NOSWATRCDIPOON-UHFFFAOYSA-N,135-Trichloro-(2-methylsulfonyl)benzene,ST003159,serum,Negative,Reverse phase/C18
-0.17781263405710593,-0.08393281850806744,IK_NPDLYUOYAGBHFB-WDSKDSINSA-N,Asparaginylarginine,MTBLS11904,plasma,Positive,Reverse phase/C18
0.23418194648723417,-0.05362912441222959,IK_NPDSHTNEKLQQIJ-UHFFFAOYSA-N,"9-Hydroxy-10,12-Octadecadienoic Acid",MTBLS11904,plasma,Negative,Reverse phase/C18
0.15258619355238862,-0.05940058488720399,IK_NPDTUDWGJMBVEP-UHFFFAOYSA-N,"N1,N12-Diacetylspermine",MTBLS11904,plasma,Positive,Reverse phase/C18
-0.06970147494934767,-0.07590552572491774,IK_NPQJTPHMCZYCNP-UHFFFAOYSA-N,Permetin A,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.17691343058308276,-0.08374072801885686,IK_NQAHWJIWYRYXFP-UHFFFAOYSA-N,Melleolide H,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.20887905972110915,-0.08623951238665771,IK_NQDAYVPCMIYPCA-UHFFFAOYSA-N,Simonin V,MTBLS11904,plasma,Positive,Reverse phase/C18
0.028971056762781184,-0.06866025671209286,IK_NQOMZUZLRFQVLR-UHFFFAOYSA-N,5'-Hydroxylornoxicam,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.19951711908970704,-0.34580023472456384,IK_NQPDZGIKBAWPEJ-UHFFFAOYSA-N,Valeric acid,29518718,plasma,Positive,LC-MS/unspecified
0.01074577255567975,-0.06993228814361507,IK_NQRYJNQNLNOLGT-UHFFFAOYSA-N,Piperidine,MTBLS11904,plasma,Positive,Reverse phase/C18
0.16044960894566654,-0.05902981508744308,IK_NRBFOSKZAWRBJI-KRWDZBQOSA-N,N-Palmitoyl Alanine,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.11118254940565914,-0.07898551076718574,IK_NRZWYNLTFLDQQX-UHFFFAOYSA-N,4-Tert-Amylphenol,MTBLS11904,plasma,Positive,Reverse phase/C18
0.04048077977162895,-0.06772445251219777,IK_NSHPHXHGRHSMIK-JRIKCGFMSA-N,Latrunculin B,MTBLS11904,plasma,Positive,Reverse phase/C18
0.004390656515595639,-0.0704607031090114,IK_NSTCJQZTKVQBIU-UHFFFAOYSA-N,"4-Methoxy-4-oxo-2,2-bis(sulfanyl)butanoic acid",MTBLS11904,plasma,Negative,Reverse phase/C18
-0.09180301745479569,-0.0775465733315773,IK_NSVPCFNUUARRKL-CSKARUKUSA-N,11-Hydroxy-9-tridecenoic acid,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.694017694144534,-0.12161719077068793,IK_NSYSSMYQPLSPOD-UHFFFAOYSA-N,4-Hydroxy-6-methyl-2-pyrone,MTBLS11904,plasma,Negative,Reverse phase/C18
-1.954446122400122,2.9296371338024163,IK_NSYSSMYQPLSPOD-UHFFFAOYSA-N,4-Hydroxy-6-methyl-2-pyrone,38720721,serum,Not reported,Reverse phase/C18
-0.18834563163994253,-0.08471489753334152,IK_NTFDCJZOSZKJBK-MINGAGCFSA-N,"PE-NMe(18:4(6Z,9Z,12Z,15Z)/22:4(7Z,10Z,13Z,16Z))",MTBLS11904,plasma,Positive,Reverse phase/C18
-0.010971138353774317,-0.07154477654415525,IK_NTNWOCRCBQPEKQ-YFKPBYRVSA-N,L-Targinine,MTBLS11904,plasma,Positive,Reverse phase/C18
0.008674500192198929,-0.07014692361000843,IK_NTVFQBIHLSPEGQ-BUHFOSPRSA-N,"9,10,13-TriHOME",MTBLS11904,plasma,Negative,Reverse phase/C18
-1.3286033589756034,0.4974276930809188,IK_NTYJJOPFIAHURM-UHFFFAOYSA-N,nicotine,38516193,plasma,Positive,LC-MS/unspecified
0.15755620278321403,-0.017834964260397292,IK_NUCLJNSWZCHRKL-UHFFFAOYSA-N,allantoic acid,38720721,serum,Not reported,Reverse phase/C18
-0.12001809939031313,-0.6969889841363394,IK_NUDXOGPEQRPSKT-MVOZTAHOSA-N,FA 18:3 (y-linolenic acid),37755270,serum,Not reported,Reverse phase/C18
-2.1816846419398309e-4,-0.07079828668179713,IK_NUJGJRNETVAIRJ-UHFFFAOYSA-N,Octanal,MTBLS11904,plasma,Negative,Reverse phase/C18
0.18776522107509225,-0.05678852952219558,IK_NURCPIMQAUMKKZ-FZOQRHEPSA-N,Ganglioside GM3 (d18:1/16:0),MTBLS11904,plasma,Positive,Reverse phase/C18
0.24898087224902282,-0.05224324467655237,IK_NUZWLKWWNNJHPT-UHFFFAOYSA-N,Anthralin,MTBLS11904,plasma,Positive,Reverse phase/C18
