entity_id,canonical_metabolite,all_metabolite_names,InChIKey,formula,n_studies_with_log2fc,n_effect_observations,n_up,n_down,mean_log2fc,median_log2fc,max_abs_log2fc,min_p_value,studies,dominant_direction,consistency_score,discordant,recurrent
IK_ZFMJJVQJMOVKIB-RQOIEFAZSA-N,PE O-18:1_18:2,PE O-18:1_18:2,ZFMJJVQJMOVKIB-RQOIEFAZSA-N,C41H78NO7P,1,1,0,1,-0.454031631,-0.454031631,0.454031631,0.03,37755270,Down in PD,1,FALSE,FALSE
UNKNOWN_ROW__24167579__unknown_94,unknown_94,unknown_94,NA,NA,1,1,0,1,-0.454031631,-0.454031631,0.454031631,NA,24167579,Down in PD,1,FALSE,FALSE
IK_FZWGECJQACGGTI-UHFFFAOYSA-N,7-Methylguanine,7-Methylguanine,FZWGECJQACGGTI-UHFFFAOYSA-N,C6H7N5O,1,1,1,0,0.453742159,0.453742159,0.453742159,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_OTDJZUJMXXNTKV-FENLDCAOSA-N,"PA(22:2(13Z,16Z)/LTE4)","PA(22:2(13Z,16Z)/LTE4)",OTDJZUJMXXNTKV-FENLDCAOSA-N,C48H82NO11PS,1,1,0,1,-0.453476404,-0.453476404,0.453476404,NA,MTBLS11904,Down in PD,1,FALSE,FALSE
IK_UIERETOOQGIECD-ONEGZZNKSA-N,Tiglic acid,Tiglic acid,UIERETOOQGIECD-ONEGZZNKSA-N,C5H8O2,1,1,1,0,0.453443185,0.453443185,0.453443185,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_IXVMHGVQKLDRKH-QHBHMFGVSA-N,24-Epibrassinolide,24-Epibrassinolide,IXVMHGVQKLDRKH-QHBHMFGVSA-N,C28H48O6,1,1,1,0,0.453409966,0.453409966,0.453409966,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_SHZGCJCMOBCMKK-DHVFOXMCSA-N,fucose,fucose,SHZGCJCMOBCMKK-DHVFOXMCSA-N,C6H12O5,1,1,1,0,0.45206823,0.45206823,0.45206823,1.5e-4,38720721,Up in PD,1,FALSE,FALSE
IK_SRXKAYJJGAAOBP-UHFFFAOYSA-N,N(5)-Acetylornithine,N(5)-Acetylornithine,SRXKAYJJGAAOBP-UHFFFAOYSA-N,C7H14N2O3,1,1,1,0,0.45181544,0.45181544,0.45181544,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_KLLGGGQNRTVBSU-FQSPHKRJSA-N,"(9Z,11E,13S,15Z)-13-Hydroxyoctadeca-9,11,15-trienoic acid","(9Z,11E,13S,15Z)-13-Hydroxyoctadeca-9,11,15-trienoic acid | 13S-HOTrE",KLLGGGQNRTVBSU-FQSPHKRJSA-N,C18H30O3,1,1,0,1,-0.451715782,-0.451715782,0.451715782,NA,MTBLS11904,Down in PD,1,FALSE,FALSE
IK_YRCWQPVGYLYSOX-VIFPVBQESA-N,D-synephrine,D-synephrine,YRCWQPVGYLYSOX-VIFPVBQESA-N,C9H13NO2,1,1,0,1,-0.451018177,-0.451018177,0.451018177,NA,MTBLS11904,Down in PD,1,FALSE,FALSE
IK_RJTCYGBFKSOFPL-UHFFFAOYSA-N,"[(5R)-5-[(1S)-1,2-Dihydroxyethyl]-2,4-dioxooxolan-3-yl] dihydrogen phosphate","[(5R)-5-[(1S)-1,2-Dihydroxyethyl]-2,4-dioxooxolan-3-yl] dihydrogen phosphate",RJTCYGBFKSOFPL-UHFFFAOYSA-N,C6H9O9P,1,1,0,1,-0.449755845,-0.449755845,0.449755845,NA,MTBLS11904,Down in PD,1,FALSE,FALSE
IK_INMKWUNQKOWGEZ-VQHVLOKHSA-N,Traumatin,Traumatin,INMKWUNQKOWGEZ-VQHVLOKHSA-N,C12H20O3,1,1,1,0,0.449689406,0.449689406,0.449689406,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_UUEPXFWSBUIUAZ-NSCUHMNNSA-N,Coumaryl acetate,Coumaryl acetate,UUEPXFWSBUIUAZ-NSCUHMNNSA-N,C11H12O3,1,1,0,1,-0.44952331,-0.44952331,0.44952331,NA,MTBLS11904,Down in PD,1,FALSE,FALSE
