entity_id,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24
IK_OMMZVRQHBRAUHL-UHFFFAOYSA-N,-1.1644797,0.86692584,0.39734906,-1.3917834,-1.9171004,0.8654889,-1.3513026,0.81854975,-1.796172,-0.030850753,-1.5874715,0.100987926,-1.3940107,-0.37952742,0.317179,-0.83811903,0.6839768,0.5721125,-0.300933,-2.1185067,-0.56666225,1.7159895,-1.9359913,-0.5878154
IK_OMYMRCXOJJZYKE-UHFFFAOYSA-N,5.8203197,0.1667622,0.36001605,1.5806863,2.615449,6.416921,-0.7268814,2.3330946,2.5520022,-0.6961138,0.9641774,4.0527782,1.8263506,-2.1977239,2.5831723,-1.3854833,0.61891025,-2.285696,-0.6469718,0.32273808,-0.9223753,1.2914393,-0.2460755,-0.059659705
IK_ONFOSYPQQXJWGS-UHFFFAOYSA-N,0.9071917,1.9830884,0.4747371,-1.5879539,-1.8313566,2.2302625,-1.3663348,2.0965085,-0.70036596,-0.8170123,-1.2019904,2.2843382,-0.9809352,-0.47604924,1.2885995,-1.8943172,2.0528731,0.47863835,-1.3187988,-2.0382755,0.32379222,1.6433855,-0.90908873,-0.5893705
IK_ONIBWKKTOPOVIA-BYPYZUCNSA-N,3.040816,2.3596988,1.6544648,3.4459321,-0.64616716,4.0110927,-0.2431624,-0.18753761,0.29304397,-1.4600273,-2.0850315,1.5508084,-0.23101428,2.1893446,2.4695854,0.44732556,-1.678729,0.6757193,0.4029886,0.5012693,0.07834005,1.8095884,-0.2404336,1.5987084
IK_ONIBWKKTOPOVIA-UHFFFAOYNA-N,2.83964,2.420155,1.5113308,3.133372,-0.7072712,4.000544,-0.36066103,-0.034784384,0.14384146,-1.4723343,-2.1146111,1.5513642,-0.19374877,2.1425016,2.5532258,0.26673073,-1.5280467,0.62168163,0.216266,0.36816642,0.06539779,1.887848,-0.3705924,1.4190832
IK_ONJQDTZCDSESIW-UHFFFAOYSA-N,-1.0118299,-0.0031924425,-0.58948773,-0.06925144,0.25100708,-0.6407226,0.9927359,-1.6414573,-1.530137,-1.7759824,-0.8731559,-3.1013536,-1.7130884,-0.7234091,-0.52781993,1.5177288,-0.37637633,1.0483255,1.0021338,-0.23353887,0.9262757,-0.32593223,-2.2220476,-0.3427791
IK_ONJSZLXSECQROL-UHFFFAOYSA-N,2.342372,1.5329832,-0.32212412,2.7839966,1.5525819,3.3132899,1.3518927,-1.4569681,-0.29580447,-2.2377465,-1.4999032,-0.43003568,0.7047949,2.133699,3.6896875,1.9549245,-2.7880075,-0.08094382,0.41728857,1.0548615,-0.22363406,1.6193991,-0.8065084,-0.06897617
IK_ONPDTSFZAIWMDI-AVGNSLFASA-N,1.534799,0.7875479,1.3488404,2.5186887,-0.5455726,2.931179,-0.39052284,-0.446153,-0.5655242,-0.39242604,-1.970542,-0.049138486,-0.31434506,0.23464447,1.2089895,0.6667756,-1.5892903,-0.10170236,1.0951381,-0.15606822,-0.6927933,1.3853973,-1.609194,0.78914803
IK_ONPXCLZMBSJLSP-UHFFFAOYNA-N,1.7028571,1.5568604,0.86382705,2.1375585,-0.46436638,2.6898773,-0.18284175,-0.19640912,-0.33866602,-1.0964562,-1.6793468,0.671125,-0.07644228,1.243705,1.8570712,0.37169465,-1.3221834,0.289373,0.30475572,0.16226009,-0.10503637,1.3120127,-0.7288585,0.7291754
IK_ONWMQORSVZYVNH-UHFFFAOYSA-N,2.1225421,1.3860605,1.3023382,2.9544942,-0.3977858,3.9366102,-0.42403284,-0.50607467,-0.3663977,-0.77538025,-2.3609653,0.14794295,-0.24740368,0.70838654,2.0170615,0.62127304,-1.7923528,0.1040017,0.880644,-0.055460356,-0.5848173,1.810579,-1.6444031,0.8807413
IK_ONYIYPVBLNPMLB-UHFFFAOYSA-N,0.7506447,0.36050403,0.94542557,1.514284,-0.6574367,1.7498046,-0.3667956,-0.29464975,-0.6893433,-0.16442439,-1.5081784,-0.16664343,-0.50190634,-0.14688249,0.6266425,0.364909,-0.9006544,-0.11002435,0.9783012,-0.33754027,-0.6143111,1.0053133,-1.442839,0.40447983
IK_OOBHFESNSZDWIU-UHFFFAOYSA-N,-0.3564254,0.7225535,3.8026197,0.22879517,-3.4545743,-0.43140358,-3.0659857,2.5737681,1.5790471,2.086977,0.2787233,2.627357,-2.0107515,0.34954152,-3.65146,-2.7997966,4.3865905,1.2495346,-0.572758,-0.81355244,2.141623,-0.9182771,1.8654598,4.075446
IK_OOCCDEMITAIZTP-QPJJXVBHSA-N,1.1915063,0.6321449,-1.4452312,-0.8540699,1.7041448,0.754796,0.6328688,0.46845943,-0.66856533,-2.198393,1.7343382,-1.6196828,-0.87740517,-2.0774662,-0.079439685,-0.5526458,0.8980107,-0.6942346,-1.0713596,0.12386059,1.8068421,-0.383991,-2.230333,-0.78226995
IK_OOOUXEXASBCJCE-ZESVVUHVSA-N,-2.183634,1.5088387,2.9272966,3.0181768,-2.0296197,-3.0928957,-0.38405105,0.08108936,-3.3212087,0.9349438,0.045307428,-1.719289,-1.0598024,2.5474095,-2.0207484,-1.7697957,-1.7141943,-1.8211545,-0.918852,1.1854241,1.7320791,0.46539333,-2.5092478,2.8435688
IK_OOOXLVUNFHBSNL-UFBFGSQYSA-N,-0.10597466,0.22994187,-1.571899,-3.6986191,0.123457946,-0.612748,-0.18609303,1.3521013,0.66954154,-0.7523087,1.7711802,0.08333195,-0.99579406,-3.1230848,-1.3115546,-2.428593,3.37218,0.5627874,-2.1423192,-1.4627905,1.0793058,-1.4053043,-0.16933209,-0.9972243
