entity_id,canonical_metabolite,primary_pathway
IK_UHWVSEOVJBQKBE-UHFFFAOYSA-N,TRIMETAZIDINE,"Alanine, aspartate and glutamate metabolism"
IK_UIPSRRAMIULCRE-OZKVUCNRSA-N,"PG(22:5(7Z,10Z,13Z,16Z,19Z)/22:5(4Z,7Z,10Z,13Z,19Z)-O(16,17))","Alanine, aspartate and glutamate metabolism"
IK_UIUJIQZEACWQSV-UHFFFAOYSA-N,Succinic acid semialdehyde,"Alanine, aspartate and glutamate metabolism"
IK_ULTTYPMRMMDONC-UHFFFAOYSA-N,Lavendustin A,Purine metabolism
IK_UQZHJQWIISKTJN-QUBZPPHQSA-N,Sulfosuccinimidyl 6-(biotinamido)hexanoate,Glycerophospholipid metabolism
IK_URGVIWXYPWWBQO-UWEYSURVSA-N,LysoPE(P-18:1(9Z)/0:0),Glycerophospholipid metabolism
IK_URPXXNCTXCOATD-FXMFQVEGSA-N,PE(P-18:0/20:4),Primary bile acid biosynthesis
IK_URVGHNOQCRQJTD-MELXFHLESA-N,"2,3-Dinor-TXB1",Primary bile acid biosynthesis
IK_USFJGINJGUIFSY-XZULNKEGSA-N,"3a,7a,12a-Trihydroxy-5b-cholestan-26-al",Primary bile acid biosynthesis
IK_UYQGVDXDXBAABN-FQSPHKRJSA-N,13(S)-Hydroperoxylinolenic acid,Arginine and proline metabolism
IK_UYUXSRADSPPKRZ-SKNVOMKLSA-N,D-Glucuronolactone,Ascorbate and aldarate metabolism
IK_UYZBRJHRPDMUHS-UHFFFAOYSA-N,Alpha-Carboxy-delta-decalactone,Arginine and proline metabolism
IK_UZTFMUBKZQVKLK-UHFFFAOYSA-M,4-Acetamidobutanoate,Arginine and proline metabolism
IK_VCWMRQDBPZKXKG-ZNVDUFQESA-N,Galactinol,Galactose metabolism
IK_VDYDCVUWILIYQF-CSMHCCOUSA-N,S-Lactoylglutathione,Pyruvate metabolism
IK_VFLYULAVOFVIAM-RRDRPCBCSA-N,"1-(4-O-beta-D-glucopyranosyl-3-methoxyphenyl)-3,5-dihydroxydecane",Starch and sucrose metabolism
IK_VGSSUFQMXBFFTM-METNKUIYSA-N,"(3beta,5alpha,6beta,24R)-Stigmastane-3,5,6-triol",Linoleic acid metabolism
IK_VHMKGBYCXDBNFU-CVWCHQOZSA-N,4'-Methoxymucidin,Linoleic acid metabolism
IK_VHRUMKCAEVRUBK-WKELIDJCSA-N,PA(2:0/PGJ2),Glycerophospholipid metabolism
IK_VIHYIVKEECZGOU-UHFFFAOYSA-N,1-Acetylimidazole,Linoleic acid metabolism
IK_VISAJVAPYPFKCL-UHFFFAOYSA-N,3-Methoxy-4-hydroxyphenylglycolaldehyde,Tyrosine metabolism
IK_VISUXPRSUNICAX-VYEFPUSRSA-N,PC P-40:1 or PC O-40:2,Glycerophospholipid metabolism
IK_VJNPDLZENXBRLB-MQEDXBOASA-N,PC ae C38:5,Fatty acid degradation
IK_VKOBVWXKNCXXDE-UHFFFAOYSA-N,arachidic acid,Biosynthesis of unsaturated fatty acids
IK_VOBYAKCXGQQFLR-LSJOCFKGSA-N,Ile Gly Val,Sphingolipid metabolism
IK_VOXZDWNPVJITMN-ZBRFXRBCSA-N,estradiol (E2),Steroid hormone biosynthesis
IK_VSTZVCJQGSLNLL-UHFFFAOYSA-N,2-aminophenol sulphate,Purine metabolism
IK_VTXNIAJKDLEHGX-UHFFFAOYSA-N,2-Hydroxyfelbamate,Drug metabolism - cytochrome P450
IK_VUALREFPJJODHZ-JTCHKQLLSA-N,Chitobiose,Amino sugar and nucleotide sugar metabolism
IK_VWWQXMAJTJZDQX-UYBVJOGSSA-N,FAD,Riboflavin metabolism
IK_VWYVABSAUVXYNS-UHFFFAOYSA-N,N-Stearoyl Lysine,Glycerophospholipid metabolism
IK_VYFYYTLLBUKUHU-UHFFFAOYSA-N,Dopamine,Tyrosine metabolism
IK_VYZAGTDAHUIRQA-WHFBIAKZSA-N,Ala-Glu,Linoleic acid metabolism
IK_VZCYOOQTPOCHFL-OWOJBTEDSA-N,fumaric acid,Arginine biosynthesis
IK_VZJHQHUOVIDRCF-UHFFFAOYSA-N,3-Isolongifolol,Linoleic acid metabolism
IK_WAAPEIZFCHNLKK-PELKAZGASA-N,"(2R,4S)-2-Aminoformyl-6-fluoro-spiro[chroman-4,4'-imidazolidine]-2',5'-dione",Linoleic acid metabolism
IK_WBBQTNCISCKUMU-IUQGRGSQSA-N,"13,16,19-Docosatrienoic acid",Glycerophospholipid metabolism
IK_WBIICVGYYRRURR-UHFFFAOYSA-N,"3-(Aminomethyl)-2,5,9-trimethyl-7H-furo[3,2-g]chromen-7-one",Sphingolipid metabolism
IK_WBIQQQGBSDOWNP-UHFFFAOYSA-N,2-Dodecylbenzenesulfonic acid,Glycerophospholipid metabolism
IK_WBYWAXJHAXSJNI-VOTSOKGWSA-N,Cinnamic acid,"Phenylalanine, tyrosine and tryptophan biosynthesis"
IK_WCFPKRXBSJDTMS-LGVIUEQGSA-N,FA 19:1,Linoleic acid metabolism
IK_WCRMUYBCGFGNRR-LTFXTMEVSA-N,PC O-42:4,Linoleic acid metabolism
IK_WDJHALXBUFZDSR-UHFFFAOYSA-M,Acetoacetate,Tyrosine metabolism
IK_WHBHBVVOGNECLV-OBQKJFGGSA-N,Cortodoxone,Steroid hormone biosynthesis
IK_WHBMMWSBFZVSSR-UHFFFAOYSA-N,3-Hydroxybutyric acid,"Valine, leucine and isoleucine biosynthesis"
IK_WHEUWNKSCXYKBU-QPWUGHHJSA-N,2-methoxyestrone (2-ME1),Steroid hormone biosynthesis
IK_WHOOUMGHGSPMGR-UHFFFAOYSA-N,Indoleacetaldehyde,Tryptophan metabolism
IK_WHUUTDBJXJRKMK-VKHMYHEASA-N,Glutamic acid,Arginine biosynthesis
IK_WJHRAVIQWFQMKF-UHFFFAOYSA-N,Alpha-Bisabolol oxide A,Glycerophospholipid metabolism
IK_WJXQFVMTIGJBFX-UHFFFAOYSA-N,4-Methoxytyramine,Glycerophospholipid metabolism
IK_WKMBZTIVAJAWBA-UHFFFAOYSA-N,"(R)-1-O-[b-D-Apiofuranosyl-(1->2)-b-D-glucopyranoside]-1,3-octanediol",Glycerophospholipid metabolism
IK_WKQNRCYKYCKESD-YVHLTTHBSA-N,PC(18:3/0:0),Purine metabolism
IK_WLJVXDMOQOGPHL-UHFFFAOYSA-N,phenylacetic acid,Tyrosine metabolism
IK_WNLRTRBMVRJNCN-UHFFFAOYSA-N,Adipic Acid,Tryptophan metabolism
IK_WOODKECARRKLJJ-DIJRFRLPSA-N,"7alpha,12alpha,26-trihydroxycholest-4-en-3-one",Steroid hormone biosynthesis
IK_WPMWEFXCIYCJSA-UHFFFAOYSA-N,Tetraethylene glycol monododecyl ether,Steroid hormone biosynthesis
IK_WPOCIZJTELRQMF-LFRCEIEQSA-N,16b-Hydroxyestrone,Glutathione metabolism
IK_WPYMKLBDIGXBTP-UHFFFAOYSA-N,Benzoic Acid,Tryptophan metabolism
IK_WQXXBAWHDQWCKL-XVFCMESISA-N,Phosphoribosylformylglycinamidine,Purine metabolism
IK_WQXXXHMEBYGSBG-OLQVQODUSA-N,"Cis-3,5-Diethyl-1,2,4-trithiolane",Glutathione metabolism
IK_WQZGKKKJIJFFOK-GASJEMHNSA-N,glucose,Ascorbate and aldarate metabolism
IK_WQZGKKKJIJFFOK-SVZMEOIVSA-N,D-Galactose,Galactose metabolism
IK_WSJBSKRPKADYRQ-UHFFFAOYSA-N,4-Formylaminoantipyrine,Linoleic acid metabolism
IK_WTDRDQBEARUVNC-LURJTMIESA-N,Levodopa,Tyrosine metabolism
IK_WTIIULQJLZEHGZ-AWFVSMACSA-L,"(2R,3S)-2,3-dimethylmalate",Linoleic acid metabolism
IK_WUUWGORPQFKFQN-XDVOZUNOSA-N,TG 54:2|TG 18:0_18:1_18:1,Glycerophospholipid metabolism
IK_WVBBZEILYLXGFN-RBUKOAKNSA-N,Sphingosine 1-phosphate (d19:1-P),Glycerophospholipid metabolism
IK_WWEKVOUOQUHVHS-UHFFFAOYSA-N,Phenytoin catechol,Glycerophospholipid metabolism
IK_WWSWYXNVCBLWNZ-QIZQQNKQSA-N,Fluprostenol,Glycerophospholipid metabolism
IK_WWUZIQQURGPMPG-KRWOKUGFSA-N,Sphingosine,Sphingolipid metabolism
IK_WWZKQHOCKIZLMA-UHFFFAOYSA-N,Caprylic acid,Fatty acid biosynthesis
IK_WXTMDXOMEHJXQO-UHFFFAOYSA-N,Gentisic acid,Tyrosine metabolism
IK_WYIMORDZGCUBAA-UHFFFAOYSA-N,LPC 19:0,Linoleic acid metabolism
IK_WYVKPHCYMTWUCW-UHFFFAOYSA-N,Cysteinyl-Threonine,Linoleic acid metabolism
IK_XBDQKXXYIPTUBI-UHFFFAOYSA-N,Propionic Acid,"Alanine, aspartate and glutamate metabolism"
IK_XEUPFPHHPCQXFV-UHFFFAOYSA-N,Panaquinquecol 7,Linoleic acid metabolism
IK_XEVQXKKKAVVSMW-WRWORJQWSA-N,Loliolide,Ether lipid metabolism
IK_XEVRBOQZSXWGQO-PAUXXPOVSA-N,PE(22:6/0:0),Ether lipid metabolism
IK_XGILAAMKEQUXLS-UHFFFAOYSA-N,Indolelactic acid,Linoleic acid metabolism
IK_XHMGEKKHSKIGMI-BDBJOHPESA-N,"(11R,12S,13S)-Epoxy-hydroxyoctadeca-cis-9-cis-15-dien-1-oic acid",Primary bile acid biosynthesis
IK_XIFCIPQKMAMFGE-QIAWJANFSA-N,"PE-NMe2(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0)",Ether lipid metabolism
IK_XJODGRWDFZVTKW-UHFFFAOYSA-N,N-Methyl-dl-Leucine,Primary bile acid biosynthesis
IK_XJZGNVBLVFOSKJ-XZULNKEGSA-N,27-Deoxy-5b-cyprinol,Primary bile acid biosynthesis
IK_XJZNMEMKZBFUIZ-GWDFKZQESA-N,Etodolac acyl glucuronide,Ether lipid metabolism
IK_XKBJVQHMEXMFDZ-UHFFFAOYSA-N,LPC O-18:0,"Glycine, serine and threonine metabolism"
IK_XKYICAQFSCFURC-UHFFFAOYSA-N,3-Methylbutyl formate,Fatty acid biosynthesis
IK_XMIFBEZRFMTGRL-TURQNECASA-N,5-Taurinomethyl-2-thiouridine,Linoleic acid metabolism
IK_XMYFJYXXQPMWED-VQHVLOKHSA-N,5-Hydroxydec-6-enoylcarnitine,Linoleic acid metabolism
IK_XOAAWQZATWQOTB-UHFFFAOYSA-N,Taurine,Primary bile acid biosynthesis
IK_XOEUHCONYHZURQ-HNUBZJOYSA-N,Flurithromycin,Glycolysis or Gluconeogenesis
IK_XOMRRQXKHMYMOC-OAQYLSRUSA-N,L-Palmitoylcarnitine,Fatty acid degradation
IK_XOMRRQXKHMYMOC-UHFFFAOYSA-N,Palmitoylcarnitine,Fatty acid degradation
IK_XQXPVVBIMDBYFF-UHFFFAOYSA-N,p Hydroxyphenylacetic acid,Tyrosine metabolism
IK_XSQUKJJJFZCRTK-UHFFFAOYSA-N,Urea,Arginine biosynthesis
IK_XTWYTFMLZFPYCI-KQYNXXCUSA-N,ADP,Glutathione metabolism
IK_XUIIKFGFIJCVMT-LBPRGKRZSA-N,Thyroxine,Tyrosine metabolism
IK_XVIHASZHSRQYCV-YWYYGOADSA-N,"PC(15:0/22:6(5Z,7Z,10Z,13Z,16Z,19Z)-OH(4))",Steroid hormone biosynthesis
IK_XVQDCCGQSOTQBN-RXCALXPUSA-N,"12'-Apo-b-carotene-3,12'-diol",Lysine degradation
IK_XWBICGCZKGTPCH-MBNYWOFBSA-N,Prostaglandin M,Arachidonic acid metabolism
IK_XWHHYOYVRVGJJY-QMMMGPOBSA-N,4-Fluoro-L-phenylalanine,Steroid hormone biosynthesis
IK_XWYSLMAMRKYUFH-SEYXRHQNSA-N,LPC O-18:1,Lysine degradation
IK_XXHSJEOGEHODTB-CAGNHHNHSA-N,"PA(14:1(9Z)/18:4(6Z,9Z,12Z,15Z))",Glycerophospholipid metabolism
IK_XYWRZQQANNOTTD-UHFFFAOYSA-N,Glaucamine,Glycerophospholipid metabolism
IK_XZOBJEOEOJXQBF-UHFFFAOYSA-N,3-Methyl-5-propyl-2-furanundecanoic acid,Drug metabolism - cytochrome P450
IK_XZYNWDWRUDTDCH-UHFFFAOYSA-N,Heptanoylcholine,Drug metabolism - cytochrome P450
IK_XZZMJRBYVRSAOS-UHFFFAOYSA-N,"4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one",Glycerophospholipid metabolism
IK_YAADMLWHGMUGQL-VOTSOKGWSA-N,Cinnamoylglycine,Glycerophospholipid metabolism
IK_YACHGFWEQXFSBS-XYERBDPFSA-N,Leptomycin B,Linoleic acid metabolism
IK_YAICYXFUKKMAKO-DBQWNMKUSA-N,6-allyl-8b-Carboxy-ergoline,Glycerophospholipid metabolism
IK_YAPQBXQYLJRXSA-UHFFFAOYSA-N,Theobromine,Caffeine metabolism
IK_YBAFDPFAUTYYRW-YUMQZZPRSA-N,Glutamylleucine,Linoleic acid metabolism
IK_YBDFPZJQBYCWBA-WMTBOZPISA-N,PE(20:3/0:0),Glycerophospholipid metabolism
IK_YBGBNHHXOJXFNM-UQCMLMITSA-N,Lucidenic acid N,Glycerophospholipid metabolism
IK_YCXUCEXEMJPDRZ-UHFFFAOYSA-N,Ganoderic acid H,Glycerophospholipid metabolism
IK_YDCKQKAUVJTIHE-UHFFFAOYSA-N,"2-(2-Phenylimidazo[1,2-a]pyridin-8-yl)acetamide",Glycerophospholipid metabolism
IK_YDNKGFDKKRUKPY-TURZORIXSA-N,C16-Ceramide,Glycerophospholipid metabolism
IK_YEFJYYIIBNWRQV-UHFFFAOYSA-N,3-Diphosphoglyceric acid,Glycerophospholipid metabolism
IK_YFFIQXNTTVSKJC-NZEOUKRFSA-N,TG 54:1,Glycerophospholipid metabolism
IK_YGNHGXTZNFXTBH-GQCTYLIASA-N,5'-((Z)-Feruloyl) 3-(2'-methylarabinosylxylose),Sphingolipid metabolism
IK_YGPSJZOEDVAXAB-QMMMGPOBSA-N,L-Kynurenine,Tryptophan metabolism
IK_YGPSJZOEDVAXAB-UHFFFAOYSA-N,Kynurenine,Tryptophan metabolism
IK_YHEDRJPUIRMZMP-ZWKOTPCHSA-N,Sphinganine 1-phosphate,Sphingolipid metabolism
IK_YHHSONZFOIEMCP-UHFFFAOYSA-N,Choline Phosphate,Glycerophospholipid metabolism
IK_YLKVIMNNMLKUGJ-BQYQJAHWSA-N,Cardanolmonoene,Glycerophospholipid metabolism
IK_YMAHRLYIAABQRQ-UHFFFAOYSA-N,"2-(3-fluorophenyl)-4-(4-Methylpiperazin-1-yl)-1H-pyrrolo[3,2-c]pyridine",Glycerophospholipid metabolism
IK_YMGXOQLWSYJFSD-FALRGZJFSA-N,"LysoPC(22:2(13Z,16Z)/0:0)",Glycerophospholipid metabolism
IK_YMKZESHNWGNAIE-VNTVABMMSA-N,PE 36:6e,Glycerophospholipid metabolism
IK_YNLRDTBLEOQPQL-UHFFFAOYSA-N,MJDBISSN00000001,Drug metabolism - cytochrome P450
IK_YOILXOMTHPUMRG-TZMCWYRMSA-N,"(4Ar,10bR)-rel-4-Propyl-2,3,4,4a,5,10b-hexahydrochromeno[4,3-b][1,4]oxazin-9-ol",Drug metabolism - cytochrome P450
IK_YPIQXPKZXKWWSZ-UHFFFAOYSA-N,"5-Phenyl-1,3-oxazinane-2,4-dione",Drug metabolism - cytochrome P450
IK_YSMODUONRAFBET-UHNVWZDZSA-N,5-Hydroxylysine,Lysine degradation
IK_YTBSYETUWUMLBZ-IUYQGCFVSA-N,Erythrose,Pentose phosphate pathway
IK_YVPPHAUZYVAQNM-UHFFFAOYSA-N,"2-Piperidinecarboxamide, 1-butyl-N-(4-hydroxy-2,6-dimethylphenyl)-",Linoleic acid metabolism
IK_YVYMBNSKXOXSKW-HXUWFJFHSA-N,PE(16:0/0:0),Ascorbate and aldarate metabolism
IK_YYELLDKEOUKVIQ-UHFFFAOYSA-N,Octaethyleneglycol monododecyl ether,Glycerophospholipid metabolism
IK_YYQVCMMXPIJVHY-ZOIJLGJPSA-N,LPC 20:2,Glycerophospholipid metabolism
IK_YZQCXOFQZKCETR-UWVGGRQHSA-N,L-Aspartyl-L phenylalanine,Ether lipid metabolism
IK_YZXBAPSDXZZRGB-DOFZRALJSA-N,Arachidonic acid,Biosynthesis of unsaturated fatty acids
IK_ZAVCUVYFGQXSRX-FYWRMAATSA-N,Nummularine B,Glycerophospholipid metabolism
IK_ZBHYMNYETSSWIX-RMKNXTFCSA-N,6-Hydroxynon-4-enoylcarnitine,Ether lipid metabolism
IK_ZBXYMKUZCWCGPC-BDWKERMESA-N,"(2E,4E)-2,7-Dimethyl-2,4-octadienedioic acid",Ascorbate and aldarate metabolism
IK_ZDHRSPRSUBAAIO-FNORWQNLSA-N,"2-Nonene-1,4-diol",Ascorbate and aldarate metabolism
IK_ZDXPYRJPNDTMRX-GSVOUGTGSA-N,D-Glutamine,D-Amino acid metabolism
IK_ZDXPYRJPNDTMRX-VKHMYHEASA-N,Glutamine,Arginine biosynthesis
IK_ZEZUHTUTOUOANR-JCGOJSMZSA-N,SM 40:1;2O|SM 18:1;2O/22:0,Linoleic acid metabolism
IK_ZFACUKICYTXONE-IWDZABBFSA-N,PC(16:1(9Z)/P-18:1(11Z)),Ascorbate and aldarate metabolism
IK_ZFFFJLDTCLJDHL-JQYCEVDMSA-N,Pregnanediol 3-O-glucuronide,Glycerophospholipid metabolism
IK_ZFFFJLDTCLJDHL-UHFFFAOYSA-N,"3-alpha,20-alpha-Dihydroxy-5-beta-pregnane 3-glucuronide","Glycine, serine and threonine metabolism"
IK_ZGKDAEWLTNBSEJ-GHMZBOCLSA-N,"Cyclopropyl-[(3S,4S)-3-(dimethylamino)-4-(hydroxymethyl)piperidin-1-yl]methanone","Glycine, serine and threonine metabolism"
IK_ZGXJTSGNIOSYLO-UHFFFAOYSA-N,5-Aminolevulinic acid,"Glycine, serine and threonine metabolism"
IK_ZHCKPJGJQOPTLB-UHFFFAOYSA-N,methylimidazoleacetic acid; aif; ce0; corrdec,Folate biosynthesis
IK_ZHRLECIZINSPKL-AKGZTFGVSA-N,L-Cysteinylglycine disulfide,Glycerophospholipid metabolism
IK_ZIYVHBGGAOATLY-UHFFFAOYSA-N,Methylmalonic Acid,"Valine, leucine and isoleucine degradation"
IK_ZJUKTBDSGOFHSH-WFMPWKQPSA-N,S-Adenosylhomocysteine,One carbon pool by folate
IK_ZKLLSNQJRLJIGT-UYFOZJQFSA-N,Fructose 1-phosphate,Fructose and mannose metabolism
IK_ZKMZBAABQFUXFE-UHFFFAOYSA-O,Apigenidin,Glycerophospholipid metabolism
IK_ZKRFOXLVOKTUTA-KQYNXXCUSA-N,6-Thioinosine-5'-monophosphate,Linoleic acid metabolism
IK_ZMITXKRGXGRMKS-LUJOEAJASA-N,Epiandrosterone sulfate,Steroid hormone biosynthesis
IK_ZMJBYMUCKBYSCP-CVYQJGLWSA-N,Garcinia acid,Arachidonic acid metabolism
IK_ZPVOLGVTNLDBFI-UHFFFAOYSA-N,"(+/-)-2,2,6-Trimethylcyclohexanone",Glycerophospholipid metabolism
IK_ZQPPMHVWECSIRJ-KTKRTIGZSA-N,Oleic acid,Biosynthesis of unsaturated fatty acids
IK_ZQRJDNRTBNYEER-NWBJSICCSA-N,Cer-NS d39:1,Glycerophospholipid metabolism
IK_ZRKZFNZPJKEWPC-UHFFFAOYSA-N,DDAO,Linoleic acid metabolism
IK_ZSTCZWJCLIRCOJ-DGCLKSJQSA-N,Zilpaterol,Linoleic acid metabolism
IK_ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,Butanal,Arginine and proline metabolism
NO_INCHIKEY__pl,PL,Vitamin B6 metabolism
