entity_id,canonical_metabolite,primary_pathway
IK_DUYSYHSSBDVJSM-KRWOKUGFSA-N,Sphingosine-1-phosphate,Sphingolipid metabolism
IK_DWAKNKKXGALPNW-UHFFFAOYSA-N,1-Pyrroline-5-carboxylic acid,Arginine and proline metabolism
IK_DWKUKQRKVCMOLP-UHFFFAOYSA-N,1-Piperideine,Lysine degradation
IK_DZGWFCGJZKJUFP-UHFFFAOYSA-N,Tyramine,Tyrosine metabolism
IK_DZPKSVTWWIZUMS-FPUNCOTOSA-N,"PC(18:2(9Z,12Z)/18:0)",Linoleic acid metabolism
IK_FAUYAENFVCNTAL-PFFNLMTBSA-N,"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",Linoleic acid metabolism
IK_FBCNXALHPSQUQY-WKABSKOFSA-N,"PC(20:4(8Z,11Z,14Z,17Z)/18:0)",Linoleic acid metabolism
IK_FDGQSTZJBFJUBT-UHFFFAOYSA-N,Hypoxanthine,Purine metabolism
IK_FDJOLVPMNUYSCM-SYUKHSAKSA-L,vitamin B12,Porphyrin metabolism
IK_FERIUCNNQQJTOY-UHFFFAOYSA-N,Butyric acid,One carbon pool by folate
IK_FFDGPVCHZBVARC-UHFFFAOYSA-N,"N,N-dimethylglycine","Glycine, serine and threonine metabolism"
IK_FFEARJCKVFRZRR-BYPYZUCNSA-N,L-Methionine,One carbon pool by folate
IK_FFEARJCKVFRZRR-UHFFFAOYNA-N,Methionine,Arginine and proline metabolism
IK_FFFHZYDWPBMWHY-VKHMYHEASA-N,Homocysteine,One carbon pool by folate
IK_FHENRYRLCPXONH-LDLOPFEMSA-N,PC 33:0,Linoleic acid metabolism
IK_FHKRUUVTZNTHKJ-NRNNPPJOSA-N,dIDP,Purine metabolism
IK_FHQVHHIBKUMWTI-OTMQOFQLSA-N,PE 34:1,Glycerophospholipid metabolism
IK_FHUAYOMRHXZKHT-JUGJLYODSA-N,PC 40:4,Linoleic acid metabolism
IK_FJAZVHYPASAQKM-JBAURARKSA-N,Estrone glucuronide,Steroid hormone biosynthesis
IK_FJKROLUGYXJWQN-UHFFFAOYSA-N,4-Hydroxybenzoic acid,Ubiquinone and other terpenoid-quinone biosynthesis
IK_FKEIHZHIVAFDLO-RYPYTVSESA-N,"PC(22:1(13Z)/22:5(4Z,7Z,10Z,13Z,16Z))",Linoleic acid metabolism
IK_FLWFZAGAZMHZQM-IVWGLPAOSA-N,PE(24:1(15Z)/15:0),Glycerophospholipid metabolism
IK_FMBYBTSZVHUJMV-DIVFMYBRSA-N,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0)",Linoleic acid metabolism
IK_FONAXCRWZQFJHY-JCGOJSMZSA-N,SM(d18:0/22:0),Sphingolipid metabolism
IK_FORFDCPQKJHEBF-HUESYALOSA-N,"PC(18:0/18:2(9Z,12Z))",Linoleic acid metabolism
IK_FQVFGIZCMMQDNV-NQQLFREJSA-N,PC(18:1(9Z)/P-16:0),Linoleic acid metabolism
IK_FQYGGFDZJFIDPU-JRSYHJKYSA-N,Estriol-16-Glucuronide,Steroid hormone biosynthesis
IK_FVXDQWZBHIXIEJ-LNDKUQBDSA-N,"PC(18:2(9Z,12Z)/18:2(9Z,12Z))",Linoleic acid metabolism
IK_FWMYJLDHIVCJCT-RRHRGVEJSA-N,"PC(18:2(9Z,12Z)/16:0)",Linoleic acid metabolism
IK_FXGOEHDEIHUMCP-XNGCGXPYSA-N,"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z))",Glycerophospholipid metabolism
IK_FXYFFYOQPWNFJZ-XGKJNDTMSA-N,"PE(15:0/20:2(11Z,14Z))",Glycerophospholipid metabolism
IK_GCIVSXAHMONYLO-HMAFJQTKSA-N,6-Dehydrotestosterone glucuronide,Pyrimidine metabolism
IK_GFFGJBXGBJISGV-UHFFFAOYSA-N,Adenine,Nicotinate and nicotinamide metabolism
IK_GFNYAPAJUNPMGH-QNEBEIHSSA-N,"5,6-dihydroxy-8Z,11Z,14Z-eicosatrienoic acid",Arachidonic acid metabolism
IK_GFXYTQPNNXGICT-YFKPBYRVSA-N,Allysine,Lysine degradation
IK_GHCZAUBVMUEKKP-GYPHWSFCSA-N,glycochenodeoxycholic acid,Primary bile acid biosynthesis
IK_GHCZAUBVMUEKKP-PNNZQWTHSA-N,chenodeoxycholic acid glycine conjugate,Primary bile acid biosynthesis
IK_GHOKWGTUZJEAQD-ZETCQYMHSA-N,Pantothenic acid,Pantothenate and CoA biosynthesis
IK_GHVNFZFCNZKVNT-UHFFFAOYSA-N,Capric acid,Fatty acid biosynthesis
IK_GIPZQCAVEQRWOM-IKJFKDIMSA-N,PC aa C38:1,Linoleic acid metabolism
IK_GIQXKAXWRLHLDD-VYACWCJYSA-N,Lithocholate 3-O-glucuronide,Ascorbate and aldarate metabolism
IK_GJBXIPOYHVMPQJ-UHFFFAOYSA-N,3-hydroxyanthranilic acid,Tryptophan metabolism
IK_GJRXIEGNAMFGOV-VEOGPPBOSA-N,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-16:0)",Linoleic acid metabolism
IK_GLONBVCUAVPJFV-PCDHEYSGSA-N,Dehydroisoandrosterone 3-glucuronide,Ascorbate and aldarate metabolism
IK_GOLXRNDWAUTYKT-UHFFFAOYSA-N,3-Indolepropionic acid,Pyrimidine metabolism
IK_GOMVPVRDBLLHQC-VEJNOCSESA-N,LPC 20:4,Glycerophospholipid metabolism
IK_GOQGGGANVKPMNH-UHFFFAOYSA-N,3-Methoxy-4-hydroxyphenylacetaldehyde,Tyrosine metabolism
